WS_ID,Name,Yahoo_Symbol,Source_Primary_Ticker,Resolved_Ticker_Candidate,Mapping_Status,Provider_Listing_Type,Reference_Note,Verified_UTC
WS:XDUB:KSP.I,KINGSPAN GRP,KRX.IR,KSP.I,KRX,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:07.854933+00:00
WS:XDUB:KYGA.I,KERRY GRP,KRZ.IR,KYGa.I,KRZ,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:08.348456+00:00
WS:XETR:BEIG.DE,BEIERSDORF,BEI.DE,BEIG.DE,BEI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:09.402355+00:00
WS:XETR:BMWG.DE,BMW,BMW.DE,BMWG.DE,BMW,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:09.924662+00:00
WS:XETR:DB1GN.DE,DEUTSCHE BOERSE,DB1.DE,DB1Gn.DE,DB1,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:10.456844+00:00
WS:XETR:EONGN.DE,E.ON,EOAN.DE,EONGn.DE,EOAN,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:10.982081+00:00
WS:XETR:FMEG.DE,FRESENIUS MEDICAL CARE,FME.DE,FMEG.DE,FME,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:11.502837+00:00
WS:XETR:FPE3_P.DE,FUCHS PREF,FPE3.DE,FPE3_p.DE,FPE3,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:12.012531+00:00
WS:XETR:FREG.DE,FRESENIUS,FRE.DE,FREG.DE,FRE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:12.531733+00:00
WS:XETR:FTKN.DE,FLATEXDEGIRO N,FTK.DE,FTKn.DE,FTK,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:13.036802+00:00
WS:XETR:G1AG.DE,GEA GRP,G1A.DE,G1AG.DE,G1A,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:13.551073+00:00
WS:XETR:HNKG_P.DE,HENKEL PREF,HEN3.DE,HNKG_p.DE,HEN3,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:14.060572+00:00
WS:XETR:MUVGN.DE,MUENCHENER RUECK,MUV2.DE,MUVGn.DE,MUV2,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:14.584470+00:00
WS:XETR:PSHG_P.DE,PORSCHE AUTOMOBIL HLDG PREF,PAH3.DE,PSHG_p.DE,PAH3,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:15.089414+00:00
WS:XETR:RAAG.DE,RATIONAL,RAA.DE,RAAG.DE,RAA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:15.617802+00:00
WS:XETR:SATG_P.DE,SARTORIUS PREF.,SRT3.DE,SATG_p.DE,SRT3,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:16.130933+00:00
WS:XETR:SDFGN.DE,K + S,SDF.DE,SDFGn.DE,SDF,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:16.649982+00:00
WS:XETR:SIEGN.DE,SIEMENS,SIE.DE,SIEGn.DE,SIE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:17.163662+00:00
WS:XETR:VOWG_P.DE,VOLKSWAGEN PREF,VOW3.DE,VOWG_p.DE,VOW3,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:17.670823+00:00
WS:XLON:ADML.L,ADMIRAL GRP,ADM.L,ADML.L,ADM,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:18.193733+00:00
WS:XLON:BKGH.L,BERKELEY GRP HLDG,BKG.L,BKGH.L,BKG,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:18.781490+00:00
WS:XLON:BT.L,BT GRP,BT-A.L,BT.L,BT-A,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:19.284856+00:00
WS:XLON:ICAG.L,IAG,IAG.L,ICAG.L,IAG,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:19.827482+00:00
WS:XLON:ICGIN.L,ICG,ICG.L,ICGIN.L,ICG,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:20.419517+00:00
WS:XLON:SJP.L,ST.JAMES'S PLACE CAPITAL,STJ.L,SJP.L,STJ,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:20.948412+00:00
WS:XMAD:PUIGB.MC,PUIG BRANDS B,PUIG.MC,PUIGb.MC,PUIG,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:22.051662+00:00
WS:XMAD:SABE.MC,BCO SABADELL,SAB.MC,SABE.MC,SAB,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:22.561367+00:00
WS:XMIL:A2.MI,A2A,A2A.MI,A2.MI,A2A,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:23.098005+00:00
WS:XMIL:AZMT.MI,AZIMUT HLDG,AZM.MI,AZMT.MI,AZM,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:23.689724+00:00
WS:XMIL:BCU.MI,BRUNELLO CUCINELLI,BC.MI,BCU.MI,BC,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:24.224350+00:00
WS:XMIL:GASI.MI,ASSICURAZIONI GENERALI,G.MI,GASI.MI,G,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:24.756579+00:00
WS:XMIL:HRA.MI,HERA,HER.MI,HRA.MI,HER,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:25.284631+00:00
WS:XMIL:ITPG.MI,INTERPUMP GRP,IP.MI,ITPG.MI,IP,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:25.786370+00:00
WS:XMIL:NEXII.MI,NEXI SPA,NEXI.MI,NEXII.MI,NEXI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:26.305224+00:00
WS:XMIL:RECI.MI,RECORDATI,REC.MI,RECI.MI,REC,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:26.828853+00:00
WS:XMIL:TENR.MI,TENARIS,TEN.MI,TENR.MI,TEN,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:27.727858+00:00
WS:XOSL:GJFG.OL,GJENSIDIGE FORSIKRING,GJF.OL,GJFG.OL,GJF,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:28.255990+00:00
WS:XPAR:BOUY.PA,BOUYGUES,EN.PA,BOUY.PA,EN,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:28.837669+00:00
WS:XPAR:CAGR.PA,CREDIT AGRICOLE,ACA.PA,CAGR.PA,ACA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:29.380213+00:00
WS:XPAR:CAPP.PA,CAP GEMINI,CAP.PA,CAPP.PA,CAP,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:29.950282+00:00
WS:XPAR:DAST.PA,DASSAULT SYSTEMS,DSY.PA,DAST.PA,DSY,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:30.462733+00:00
WS:XPAR:HRMS.PA,HERMES INTERNATIONAL,RMS.PA,HRMS.PA,RMS,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:31.054183+00:00
WS:XPAR:LVMH.PA,LVMH MOET HENNESSY,MC.PA,LVMH.PA,MC,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:31.593624+00:00
WS:XPAR:MICP.PA,MICHELIN,ML.PA,MICP.PA,ML,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:32.105436+00:00
WS:XPAR:PUBP.PA,PUBLICIS GRP,PUB.PA,PUBP.PA,PUB,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:32.631927+00:00
WS:XPAR:SCOR.PA,SCOR,SCR.PA,SCOR.PA,SCR,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:33.166813+00:00
WS:XPAR:SOGN.PA,GRP SOCIETE GENERALE,GLE.PA,SOGN.PA,GLE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:33.675273+00:00
WS:XSTO:ADDTB.ST,ADDTECH B,ADDT-B.ST,ADDTb.ST,ADDT-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:34.226034+00:00
WS:XSTO:AVANZ.ST,AVANZA BANK HLDG,AZA.ST,AVANZ.ST,AZA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:34.781554+00:00
WS:XSTO:BALDB.ST,FASTIGHETS BALDER B,BALD-B.ST,BALDb.ST,BALD-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:35.296927+00:00
WS:XSTO:BEIJB.ST,BEIJER REF AB,BEIJ-B.ST,BEIJb.ST,BEIJ-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:35.912796+00:00
WS:XSTO:ESSITYB.ST,Essity B,ESSITY-B.ST,ESSITYb.ST,ESSITY-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:37.449328+00:00
WS:XSTO:GETIB.ST,GETINGE B,GETI-B.ST,GETIb.ST,GETI-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:37.964615+00:00
WS:XSTO:HMB.ST,HENNES & MAURITZ B,HM-B.ST,HMb.ST,HM-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:39.051444+00:00
WS:XSTO:HOLMB.ST,HOLMEN B,HOLM-B.ST,HOLMb.ST,HOLM-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:39.561552+00:00
WS:XSTO:INDUC.ST,INDUSTRIVARDEN C,INDU-C.ST,INDUc.ST,INDU-C,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:40.071339+00:00
WS:XSTO:INVEB.ST,INVESTOR B,INVE-B.ST,INVEb.ST,INVE-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:40.630829+00:00
WS:XSTO:LAGRB.ST,LAGERCRANTZ GROUP 'B',LAGR-B.ST,LAGRb.ST,LAGR-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:41.213566+00:00
WS:XSTO:LATOB.ST,LATOUR INVESTMENT B,LATO-B.ST,LATOb.ST,LATO-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:41.716905+00:00
WS:XSTO:LIFCOB.ST,LIFCO B,LIFCO-B.ST,LIFCOb.ST,LIFCO-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:42.274674+00:00
WS:XSTO:LUNDB.ST,LUNDBERGFORETAGEN B,LUND-B.ST,LUNDb.ST,LUND-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:42.784937+00:00
WS:XSTO:NIBEB.ST,NIBE INDUSTRIER B,NIBE-B.ST,NIBEb.ST,NIBE-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:43.295211+00:00
WS:XSTO:OCTVSDB.ST,OCTAVE INTELLIGENCE SDR,OCTV,OCTVsdb.ST,OCTV,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,ALTERNATE_UNDERLYING_1_TO_1,Nasdaq OCTV Class B ordinary share; Stockholm OCTV SDB is a 1:1 SDR and temporary program.,2026-08-23T22:25:43.822542+00:00
WS:XSTO:SAABB.ST,SAAB B,SAAB-B.ST,SAABb.ST,SAAB-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:44.350645+00:00
WS:XSTO:SAGAB.ST,SAGAX 'B',SAGA-B.ST,SAGAb.ST,SAGA-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:44.853908+00:00
WS:XSTO:SCAB.ST,SVENSKA CELLULOSA AKTIE. SCA B,SCA-B.ST,SCAb.ST,SCA-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:45.363026+00:00
WS:XSTO:SEBA.ST,SKANDINAVISKA ENSKILDA BK A,SEB-A.ST,SEBa.ST,SEB-A,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:45.860712+00:00
WS:XSTO:SECTB.ST,SECTRA 'B',SECT-B.ST,SECTb.ST,SECT-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:46.417925+00:00
WS:XSTO:SECUB.ST,SECURITAS B,SECU-B.ST,SECUb.ST,SECU-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:46.951162+00:00
WS:XSTO:SKAB.ST,SKANSKA B,SKA-B.ST,SKAb.ST,SKA-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:47.455664+00:00
WS:XSTO:SKFB.ST,SKF B,SKF-B.ST,SKFb.ST,SKF-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:47.981932+00:00
WS:XSTO:SSABB.ST,SSAB B,SSAB-B.ST,SSABb.ST,SSAB-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:48.538356+00:00
WS:XSTO:SWECB.ST,SWECO 'B',SWEC-B.ST,SWECb.ST,SWEC-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:49.046855+00:00
WS:XSTO:TEL2B.ST,TELE2 B,TEL2-B.ST,TEL2b.ST,TEL2-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:49.569753+00:00
WS:XSTO:TRELB.ST,TRELLEBORG B,TREL-B.ST,TRELb.ST,TREL-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:50.075229+00:00
WS:XSTO:VOLVB.ST,VOLVO B,VOLV-B.ST,VOLVb.ST,VOLV-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:50.586688+00:00
WS:XSWX:ALCC.S,ALCON,ALC.SW,ALCC.S,ALC,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:51.106472+00:00
WS:XSWX:COTNE.S,COMET HOLDINGS 'R',COTN.SW,COTNE.S,COTN,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:51.615843+00:00
WS:XSWX:HBANC.S,HELVETIA BALOISE HLDG,HBAN.SW,HBANC.S,HBAN,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:52.115293+00:00
WS:XWBO:OMVV.VI,OMV,OMV.VI,OMVV.VI,OMV,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:53.715572+00:00
WS:XMEX:FEMSAUBD,FEMSA,FEMSAUBD.MX,FEMSA UBD,FEMSAUBD,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:55.165814+00:00
WS:XMEX:GFINBURO,Inbursa,GFINBURO.MX,GFINBUR O,GFINBURO,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:55.744225+00:00
WS:XMEX:GFNORTEO,Banorte,GFNORTEO.MX,GFNORTE O,GFNORTEO,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:56.275618+00:00
WS:XMEX:MEGACPO,Megacable,MEGACPO.MX,MEGA CPO,MEGACPO,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:56.794090+00:00
WS:XMEX:VOLARA,Volaris,VOLARA.MX,VOLAR A,VOLARA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:57.306082+00:00
WS:SRC:ZA_TOP40:226ACE3524DC99B3,Investec Ltd,INL.JO,,INL,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:58.731393+00:00
WS:SRC:ZA_TOP40:269DEF2006BCDC3A,Implats,IMP.JO,,IMP,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:59.254053+00:00
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,AB InBev,ANH.JO,,ANH,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:59.812705+00:00
WS:SRC:ZA_TOP40:3372028E3DD353C9,Absa Group,ABG.JO,,ABG,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:00.385710+00:00
WS:SRC:ZA_TOP40:3598A879F2EA6E99,Sanlam,SLM.JO,,SLM,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:00.915594+00:00
WS:SRC:ZA_TOP40:826AEDDC44AC58D6,RMH,RMH.JO,,RMH,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:01.446862+00:00
WS:SRC:ZA_TOP40:8D915874D6D1F74D,Growthpoint Properties,GRT.JO,,GRT,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:01.972917+00:00
WS:SRC:ZA_TOP40:A5EBFF44983C436F,Bidcorp,BID.JO,,BID,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:02.514976+00:00
WS:SRC:ZA_TOP40:A707BAE04D25DE84,Gold Fields,GFI.JO,,GFI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:03.033228+00:00
WS:SRC:ZA_TOP40:B9672938BA6AA893,FirstRand,FSR.JO,,FSR,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:03.548416+00:00
WS:SRC:ZA_TOP40:C3D446CB310D4D8C,Capitec,CPI.JO,,CPI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:04.060546+00:00
WS:SRC:ZA_TOP40:C4F89DB729DA585F,BHP,BHG.JO,,BHG,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:04.583338+00:00
WS:SRC:ZA_TOP40:CA5BCEC12F716F44,BAT,BTI.JO,,BTI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:05.113810+00:00
WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,Standard Bank,SBK.JO,,SBK,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:05.640003+00:00
WS:SRC:ZA_TOP40:DFFDE2958F9E4E6C,Mondi,MNP.JO,,MNP,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:06.175726+00:00
WS:SRC:ZA_TOP40:EEEF37437472AD5D,Aspen Pharmacare,APN.JO,,APN,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:06.689104+00:00
WS:SRC:ZA_TOP40:FA44132B238E6795,Discovery,DSY.JO,,DSY,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:26:07.244948+00:00
