WS_ID,Name,Primary_Universe_Index,Primary_MIC,Source_Primary_Ticker,Yahoo_Symbol_Before,Yahoo_Status_Before,Curated_Candidate,Yahoo_Symbol_After,Yahoo_Status_After,Provider_Listing_Type,Changed,Validation_Reason,Yahoo_Result_Name,Yahoo_Result_Exchange,Name_Score,Errors,Active_After
WS:XLON:BKGH.L,BERKELEY GRP HLDG,EU_STOXX600,XLON,BKGH.L,,SEARCH_NO_QUOTES,BKG.L,BKG.L,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,The Berkeley Group Holdings plc,LSE,0.85,,True
WS:XLON:BT.L,BT GRP,EU_STOXX600,XLON,BT.L,,SEARCH_NO_QUOTES,BT-A.L,BT-A.L,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,BT Group plc,LSE,0.857143,,True
WS:XLON:ICAG.L,IAG,EU_STOXX600,XLON,ICAG.L,,SEARCH_AMBIGUOUS,IAG.L,IAG.L,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,International Consolidated Airlines Group S.A.,LSE,0.125,,True
WS:XLON:ICGIN.L,ICG,EU_STOXX600,XLON,ICGIN.L,,SEARCH_AMBIGUOUS,ICG.L,ICG.L,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,ICG plc,LSE,1.0,,True
WS:XLON:SJP.L,ST.JAMES'S PLACE CAPITAL,EU_STOXX600,XLON,SJP.L,,SEARCH_NO_QUOTES,STJ.L,STJ.L,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,St. James's Place plc,LSE,1.0,,True
WS:XMAD:AMA.MC,AMADEUS IT GROUP,EU_STOXX600,XMAD,AMA.MC,,SEARCH_AMBIGUOUS,AMS.MC,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XMAD:PUIGB.MC,PUIG BRANDS B,EU_STOXX600,XMAD,PUIGb.MC,,SEARCH_NO_QUOTES,PUIG.MC,PUIG.MC,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,"PUIG BRANDS, S.A. CLASE B",MCE,1.0,,True
WS:XMAD:SABE.MC,BCO SABADELL,EU_STOXX600,XMAD,SABE.MC,,SEARCH_NO_QUOTES,SAB.MC,SAB.MC,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,"Banco de Sabadell, S.A.",MCE,0.727273,,True
WS:XMIL:A2.MI,A2A,EU_STOXX600,XMIL,A2.MI,,SEARCH_AMBIGUOUS,A2A.MI,A2A.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,A2A S.p.A.,MIL,1.0,,True
WS:XMIL:AZMT.MI,AZIMUT HLDG,EU_STOXX600,XMIL,AZMT.MI,,SEARCH_NO_QUOTES,AZM.MI,AZM.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Azimut Holding S.p.A.,MIL,0.709677,,True
WS:XMIL:BCU.MI,BRUNELLO CUCINELLI,EU_STOXX600,XMIL,BCU.MI,,SEARCH_AMBIGUOUS,BC.MI,BC.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Brunello Cucinelli S.p.A.,MIL,1.0,,True
WS:XMIL:GASI.MI,ASSICURAZIONI GENERALI,EU_STOXX600,XMIL,GASI.MI,,SEARCH_AMBIGUOUS,G.MI,G.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Assicurazioni Generali S.p.A.,MIL,1.0,,True
WS:XMIL:HRA.MI,HERA,EU_STOXX600,XMIL,HRA.MI,,SEARCH_AMBIGUOUS,HER.MI,HER.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Hera S.p.A.,MIL,1.0,,True
WS:XMIL:ITPG.MI,INTERPUMP GRP,EU_STOXX600,XMIL,ITPG.MI,,SEARCH_NO_QUOTES,IP.MI,IP.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Interpump Group S.p.A.,MIL,0.764706,,True
WS:XMIL:NEXII.MI,NEXI SPA,EU_STOXX600,XMIL,NEXII.MI,,SEARCH_AMBIGUOUS,NEXI.MI,NEXI.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Nexi S.p.A.,MIL,1.0,,True
WS:XMIL:RECI.MI,RECORDATI,EU_STOXX600,XMIL,RECI.MI,,SEARCH_AMBIGUOUS,REC.MI,REC.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Recordati Industria Chimica e Farmaceutica S.p.A.,MIL,1.0,,True
WS:XMIL:TENR.MI,TENARIS,EU_STOXX600,XMIL,TENR.MI,,SEARCH_AMBIGUOUS,TEN.MI,TEN.MI,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Tenaris S.A.,MIL,1.0,,True
WS:XOSL:GJFG.OL,GJENSIDIGE FORSIKRING,EU_STOXX600,XOSL,GJFG.OL,,SEARCH_AMBIGUOUS,GJF.OL,GJF.OL,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Gjensidige Forsikring ASA,OSL,1.0,,True
WS:XPAR:BOUY.PA,BOUYGUES,EU_STOXX600,XPAR,BOUY.PA,,SEARCH_AMBIGUOUS,EN.PA,EN.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Bouygues SA,PAR,1.0,,True
WS:XPAR:CAGR.PA,CREDIT AGRICOLE,EU_STOXX600,XPAR,CAGR.PA,,SEARCH_AMBIGUOUS,ACA.PA,ACA.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Crédit Agricole S.A.,PAR,1.0,,True
WS:XPAR:CAPP.PA,CAP GEMINI,EU_STOXX600,XPAR,CAPP.PA,,SEARCH_NO_QUOTES,CAP.PA,CAP.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Capgemini SE,PAR,0.947368,,True
WS:XPAR:DAST.PA,DASSAULT SYSTEMS,EU_STOXX600,XPAR,DAST.PA,,SEARCH_NO_QUOTES,DSY.PA,DSY.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Dassault Systèmes SE,PAR,0.969697,,True
WS:XPAR:HRMS.PA,HERMES INTERNATIONAL,EU_STOXX600,XPAR,HRMS.PA,,SEARCH_AMBIGUOUS,RMS.PA,RMS.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Hermès International Société en commandite par actions,PAR,1.0,,True
WS:XPAR:LVMH.PA,LVMH MOET HENNESSY,EU_STOXX600,XPAR,LVMH.PA,,SEARCH_AMBIGUOUS,MC.PA,MC.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",PAR,1.0,,True
WS:XPAR:MICP.PA,MICHELIN,EU_STOXX600,XPAR,MICP.PA,,SEARCH_AMBIGUOUS,ML.PA,ML.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Compagnie Générale des Établissements Michelin Société en commandite par actions,PAR,1.0,,True
WS:XPAR:PUBP.PA,PUBLICIS GRP,EU_STOXX600,XPAR,PUBP.PA,,SEARCH_NO_QUOTES,PUB.PA,PUB.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Publicis Groupe S.A.,PAR,0.774194,,True
WS:XPAR:SCOR.PA,SCOR,EU_STOXX600,XPAR,SCOR.PA,,SEARCH_AMBIGUOUS,SCR.PA,SCR.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,SCOR SE,PAR,1.0,,True
WS:XPAR:SOGN.PA,GRP SOCIETE GENERALE,EU_STOXX600,XPAR,SOGN.PA,,SEARCH_NO_QUOTES,GLE.PA,GLE.PA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Société Générale Société anonyme,PAR,0.666667,,True
WS:XSTO:ADDTB.ST,ADDTECH B,EU_STOXX600,XSTO,ADDTb.ST,,SEARCH_AMBIGUOUS,ADDT-B.ST,ADDT-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Addtech AB (publ.),STO,0.75,,True
WS:XSTO:AVANZ.ST,AVANZA BANK HLDG,EU_STOXX600,XSTO,AVANZ.ST,,SEARCH_NO_QUOTES,AZA.ST,AZA.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Avanza Bank Holding AB (publ),STO,0.744186,,True
WS:XSTO:BALDB.ST,FASTIGHETS BALDER B,EU_STOXX600,XSTO,BALDb.ST,,SEARCH_NO_QUOTES,BALD-B.ST,BALD-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Fastighets AB Balder (publ),STO,0.863636,,True
WS:XSTO:BEIJB.ST,BEIJER REF AB,EU_STOXX600,XSTO,BEIJb.ST,,SEARCH_AMBIGUOUS,BEIJ-B.ST,BEIJ-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Beijer Ref AB (publ),STO,1.0,,True
WS:XSTO:EPIRA.ST,EPIROC A,EU_STOXX600,XSTO,EPIRa.ST,,SEARCH_AMBIGUOUS,EPIR-A.ST,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XSTO:ERICB.ST,ERICSSON LM B,EU_STOXX600,XSTO,ERICb.ST,,SEARCH_NO_QUOTES,ERIC-B.ST,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XSTO:ESSITYB.ST,Essity B,EU_STOXX600,XSTO,ESSITYb.ST,,SEARCH_NO_QUOTES,ESSITY-B.ST,ESSITY-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Essity AB (publ),STO,0.727273,,True
WS:XSTO:GETIB.ST,GETINGE B,EU_STOXX600,XSTO,GETIb.ST,,SEARCH_AMBIGUOUS,GETI-B.ST,GETI-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Getinge AB (publ),STO,0.75,,True
WS:XSTO:HEXAB.ST,HEXAGON B,EU_STOXX600,XSTO,HEXAb.ST,,SEARCH_AMBIGUOUS,HEXA-B.ST,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XSTO:HMB.ST,HENNES & MAURITZ B,EU_STOXX600,XSTO,HMb.ST,,SEARCH_NO_QUOTES,HM-B.ST,HM-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,H & M Hennes & Mauritz AB (publ),STO,0.75,,True
WS:XSTO:HOLMB.ST,HOLMEN B,EU_STOXX600,XSTO,HOLMb.ST,,SEARCH_AMBIGUOUS,HOLM-B.ST,HOLM-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Holmen AB (publ),STO,0.727273,,True
WS:XSTO:INDUC.ST,INDUSTRIVARDEN C,EU_STOXX600,XSTO,INDUc.ST,,SEARCH_NO_QUOTES,INDU-C.ST,INDU-C.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,AB Industrivärden (publ),STO,0.789474,,True
WS:XSTO:INVEB.ST,INVESTOR B,EU_STOXX600,XSTO,INVEb.ST,,SEARCH_AMBIGUOUS,INVE-B.ST,INVE-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Investor AB (publ),STO,0.769231,,True
WS:XSTO:LAGRB.ST,LAGERCRANTZ GROUP 'B',EU_STOXX600,XSTO,LAGRb.ST,,SEARCH_NO_QUOTES,LAGR-B.ST,LAGR-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Lagercrantz Group AB (publ),STO,0.863636,,True
WS:XSTO:LATOB.ST,LATOUR INVESTMENT B,EU_STOXX600,XSTO,LATOb.ST,,SEARCH_NO_QUOTES,LATO-B.ST,LATO-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Investment AB Latour (publ),STO,0.666667,,True
WS:XSTO:LIFCOB.ST,LIFCO B,EU_STOXX600,XSTO,LIFCOb.ST,,SEARCH_NO_QUOTES,LIFCO-B.ST,LIFCO-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Lifco AB (publ),STO,0.7,,True
WS:XSTO:LUNDB.ST,LUNDBERGFORETAGEN B,EU_STOXX600,XSTO,LUNDb.ST,,SEARCH_NO_QUOTES,LUND-B.ST,LUND-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,L E Lundbergföretagen AB (publ),STO,0.791667,,True
WS:XSTO:NIBEB.ST,NIBE INDUSTRIER B,EU_STOXX600,XSTO,NIBEb.ST,,SEARCH_AMBIGUOUS,NIBE-B.ST,NIBE-B.ST,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,NIBE Industrier AB (publ),STO,0.85,,True
