WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,Identity_Audit_Status,Identity_Audit_Issues,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Audit_UTC,Duplicate_ISIN_Group,Duplicate_Name_Group,Remediation_Method,Remediation_UTC,Source_Primary_Ticker,Primary_Ticker_Resolved_Candidate,Canonical_WS_ID_Candidate,Provider_Listing_Type,Final_Remediation_UTC,Final_Resolved_Ticker_Candidate,Evidence_Freeze_Status,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Note,Evidence_Frozen_UTC
WS:XASX:ALQ,ALS,,UNVERIFIED_EQUITY_SECURITY,Australia,ALQ,Australian Securities Exchange,XASX,AUD,ALQ.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALQ,2026-08-23T21:48:43.948582+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.072273+00:00,ALQ,ALQ,,PRIMARY,2026-08-23T22:24:59.641658+00:00,ALQ,,,,,
WS:XASX:ALX,Atlas Arteria,,UNVERIFIED_EQUITY_SECURITY,Australia,ALX,Australian Securities Exchange,XASX,AUD,ALX.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALX,2026-08-23T21:48:43.950185+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.073344+00:00,ALX,ALX,,PRIMARY,2026-08-23T22:24:59.642252+00:00,ALX,,,,,
WS:XASX:AMC,Amcor,,UNVERIFIED_EQUITY_SECURITY,Australia,AMC,Australian Securities Exchange,XASX,AUD,AMC.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,AMC,2026-08-23T21:48:43.951788+00:00,,NAME:499f2cf37b8b,CARRY_FORWARD,2026-08-23T22:04:36.074400+00:00,AMC,AMC,,PRIMARY,2026-08-23T22:24:59.642932+00:00,AMC,,,,,
WS:XASX:AMP,AMP,,UNVERIFIED_EQUITY_SECURITY,Australia,AMP,Australian Securities Exchange,XASX,AUD,AMP.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AMP,2026-08-23T21:48:43.953394+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.075445+00:00,AMP,AMP,,PRIMARY,2026-08-23T22:24:59.643490+00:00,AMP,,,,,
WS:XASX:ANN,Ansell,,UNVERIFIED_EQUITY_SECURITY,Australia,ANN,Australian Securities Exchange,XASX,AUD,ANN.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ANN,2026-08-23T21:48:43.954968+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.076490+00:00,ANN,ANN,,PRIMARY,2026-08-23T22:24:59.644059+00:00,ANN,,,,,
WS:XASX:ANZ,Australia & New Zealand Banking Group,,UNVERIFIED_EQUITY_SECURITY,Australia,ANZ,Australian Securities Exchange,XASX,AUD,ANZ.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ANZ,2026-08-23T21:48:43.956572+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.077532+00:00,ANZ,ANZ,,PRIMARY,2026-08-23T22:24:59.644608+00:00,ANZ,,,,,
WS:XASX:APA,APA Group,,UNVERIFIED_EQUITY_SECURITY,Australia,APA,Australian Securities Exchange,XASX,AUD,APA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,APA,2026-08-23T21:48:43.958129+00:00,,NAME:b3e1886e6a00,CARRY_FORWARD,2026-08-23T22:04:36.078583+00:00,APA,APA,,PRIMARY,2026-08-23T22:24:59.645178+00:00,APA,,,,,
WS:XASX:APE,Eagers Automotive,,UNVERIFIED_EQUITY_SECURITY,Australia,APE,Australian Securities Exchange,XASX,AUD,APE.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,APE,2026-08-23T21:48:43.959709+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.079630+00:00,APE,APE,,PRIMARY,2026-08-23T22:24:59.645725+00:00,APE,,,,,
WS:XASX:ARB,ARB Corporation,,UNVERIFIED_EQUITY_SECURITY,Australia,ARB,Australian Securities Exchange,XASX,AUD,ARB.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ARB,2026-08-23T21:48:43.961247+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.080685+00:00,ARB,ARB,,PRIMARY,2026-08-23T22:24:59.646301+00:00,ARB,,,,,
WS:XASX:ARG,Argo Investments,,UNVERIFIED_EQUITY_SECURITY,Australia,ARG,Australian Securities Exchange,XASX,AUD,ARG.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ARG,2026-08-23T21:48:43.962828+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.081731+00:00,ARG,ARG,,PRIMARY,2026-08-23T22:24:59.646877+00:00,ARG,,,,,
WS:XASX:ASB,Austal,,UNVERIFIED_EQUITY_SECURITY,Australia,ASB,Australian Securities Exchange,XASX,AUD,ASB.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ASB,2026-08-23T21:48:43.964456+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.082776+00:00,ASB,ASB,,PRIMARY,2026-08-23T22:24:59.647436+00:00,ASB,,,,,
WS:XASX:ASK,Abacus Storage King,,UNVERIFIED_EQUITY_SECURITY,Australia,ASK,Australian Securities Exchange,XASX,AUD,ASK.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ASK,2026-08-23T21:48:43.966013+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.083843+00:00,ASK,ASK,,PRIMARY,2026-08-23T22:24:59.648012+00:00,ASK,,,,,
WS:XASX:ASX,ASX,,UNVERIFIED_EQUITY_SECURITY,Australia,ASX,Australian Securities Exchange,XASX,AUD,ASX.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ASX,2026-08-23T21:48:43.967608+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.084984+00:00,ASX,ASX,,PRIMARY,2026-08-23T22:24:59.648580+00:00,ASX,,,,,
WS:XASX:AUB,AUB Group,,UNVERIFIED_EQUITY_SECURITY,Australia,AUB,Australian Securities Exchange,XASX,AUD,AUB.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AUB,2026-08-23T21:48:43.969160+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.086050+00:00,AUB,AUB,,PRIMARY,2026-08-23T22:24:59.649141+00:00,AUB,,,,,
WS:XASX:AZJ,Aurizon,,UNVERIFIED_EQUITY_SECURITY,Australia,AZJ,Australian Securities Exchange,XASX,AUD,AZJ.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AZJ,2026-08-23T21:48:43.970830+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.087147+00:00,AZJ,AZJ,,PRIMARY,2026-08-23T22:24:59.649681+00:00,AZJ,,,,,
WS:XASX:BEN,Bendigo & Adelaide Bank,,UNVERIFIED_EQUITY_SECURITY,Australia,BEN,Australian Securities Exchange,XASX,AUD,BEN.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BEN,2026-08-23T21:48:43.972435+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.088269+00:00,BEN,BEN,,PRIMARY,2026-08-23T22:24:59.650250+00:00,BEN,,,,,
WS:XASX:BFL,BSP Financial Group,,UNVERIFIED_EQUITY_SECURITY,Australia,BFL,Australian Securities Exchange,XASX,AUD,BFL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BFL,2026-08-23T21:48:43.974006+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.089398+00:00,BFL,BFL,,PRIMARY,2026-08-23T22:24:59.650827+00:00,BFL,,,,,
WS:XASX:BGA,Bega Cheese,,UNVERIFIED_EQUITY_SECURITY,Australia,BGA,Australian Securities Exchange,XASX,AUD,BGA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BGA,2026-08-23T21:48:43.975632+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.090478+00:00,BGA,BGA,,PRIMARY,2026-08-23T22:24:59.651388+00:00,BGA,,,,,
WS:XASX:BGL,Bellevue Gold,,UNVERIFIED_EQUITY_SECURITY,Australia,BGL,Australian Securities Exchange,XASX,AUD,BGL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BGL,2026-08-23T21:48:43.977181+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.091550+00:00,BGL,BGL,,PRIMARY,2026-08-23T22:24:59.651947+00:00,BGL,,,,,
WS:XASX:BHP,BHP,,UNVERIFIED_EQUITY_SECURITY,Australia,BHP,Australian Securities Exchange,XASX,AUD,BHP.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,BHP,2026-08-23T21:48:43.978788+00:00,,NAME:c4f89db729da,CARRY_FORWARD,2026-08-23T22:04:36.092592+00:00,BHP,BHP,,PRIMARY,2026-08-23T22:24:59.652505+00:00,BHP,,,,,
WS:XASX:BOQ,Bank of Queensland,,UNVERIFIED_EQUITY_SECURITY,Australia,BOQ,Australian Securities Exchange,XASX,AUD,BOQ.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BOQ,2026-08-23T21:48:43.980371+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.093709+00:00,BOQ,BOQ,,PRIMARY,2026-08-23T22:24:59.653086+00:00,BOQ,,,,,
WS:XASX:BPT,Beach Energy,,UNVERIFIED_EQUITY_SECURITY,Australia,BPT,Australian Securities Exchange,XASX,AUD,BPT.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BPT,2026-08-23T21:48:43.981951+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.094812+00:00,BPT,BPT,,PRIMARY,2026-08-23T22:24:59.653631+00:00,BPT,,,,,
WS:XASX:BRG,Breville Group,,UNVERIFIED_EQUITY_SECURITY,Australia,BRG,Australian Securities Exchange,XASX,AUD,BRG.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BRG,2026-08-23T21:48:43.983568+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.095883+00:00,BRG,BRG,,PRIMARY,2026-08-23T22:24:59.654189+00:00,BRG,,,,,
WS:XASX:BSL,BlueScope,,UNVERIFIED_EQUITY_SECURITY,Australia,BSL,Australian Securities Exchange,XASX,AUD,BSL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BSL,2026-08-23T21:48:43.985107+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.096940+00:00,BSL,BSL,,PRIMARY,2026-08-23T22:24:59.654739+00:00,BSL,,,,,
