WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Primary_Universe_Index,Index_Tags,Universe_Status
SMOKE:FR:MC,LVMH,,France,MC,SMOKE_TEST_REFERENCE,XPAR,EUR,MC.PA,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:FR:OR,L Oreal,,France,OR,SMOKE_TEST_REFERENCE,XPAR,EUR,OR.PA,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:FR:AIR,Airbus SE,,France,AIR,SMOKE_TEST_REFERENCE,XPAR,EUR,AIR.PA,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:UK:SHEL,Shell plc,,United Kingdom,SHEL,SMOKE_TEST_REFERENCE,XLON,GBP,SHEL.L,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:UK:AZN,AstraZeneca plc,,United Kingdom,AZN,SMOKE_TEST_REFERENCE,XLON,GBP,AZN.L,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:UK:HSBA,HSBC Holdings plc,,United Kingdom,HSBA,SMOKE_TEST_REFERENCE,XLON,GBP,HSBA.L,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:CH:NESN,Nestle SA,,Switzerland,NESN,SMOKE_TEST_REFERENCE,XSWX,CHF,NESN.SW,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:CH:NOVN,Novartis AG,,Switzerland,NOVN,SMOKE_TEST_REFERENCE,XSWX,CHF,NOVN.SW,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:CH:ROG,Roche Holding AG,,Switzerland,ROG,SMOKE_TEST_REFERENCE,XSWX,CHF,ROG.SW,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:JP:7203,Toyota Motor Corp.,,Japan,7203,SMOKE_TEST_REFERENCE,XTKS,JPY,7203.T,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:JP:6758,Sony Group Corp.,,Japan,6758,SMOKE_TEST_REFERENCE,XTKS,JPY,6758.T,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:JP:9984,SoftBank Group Corp.,,Japan,9984,SMOKE_TEST_REFERENCE,XTKS,JPY,9984.T,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:HK:700,Tencent Holdings Ltd.,,Hong Kong,700,SMOKE_TEST_REFERENCE,XHKG,HKD,0700.HK,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:HK:9988,Alibaba Group Holding Ltd.,,Hong Kong,9988,SMOKE_TEST_REFERENCE,XHKG,HKD,9988.HK,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:HK:1299,AIA Group Ltd.,,Hong Kong,1299,SMOKE_TEST_REFERENCE,XHKG,HKD,1299.HK,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:IN:RELIANCE,Reliance Industries Ltd.,,India,RELIANCE,SMOKE_TEST_REFERENCE,XNSE,INR,RELIANCE.NS,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:IN:INFY,Infosys Ltd.,,India,INFY,SMOKE_TEST_REFERENCE,XNSE,INR,INFY.NS,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:IN:HDFCBANK,HDFC Bank Ltd.,,India,HDFCBANK,SMOKE_TEST_REFERENCE,XNSE,INR,HDFCBANK.NS,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:AU:BHP,BHP Group Ltd.,,Australia,BHP,SMOKE_TEST_REFERENCE,XASX,AUD,BHP.AX,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:AU:CBA,Commonwealth Bank of Australia,,Australia,CBA,SMOKE_TEST_REFERENCE,XASX,AUD,CBA.AX,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:AU:CSL,CSL Ltd.,,Australia,CSL,SMOKE_TEST_REFERENCE,XASX,AUD,CSL.AX,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:BR:PETR4,Petroleo Brasileiro SA,,Brazil,PETR4,SMOKE_TEST_REFERENCE,BVMF,BRL,PETR4.SA,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:BR:VALE3,Vale SA,,Brazil,VALE3,SMOKE_TEST_REFERENCE,BVMF,BRL,VALE3.SA,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:BR:ITUB4,Itau Unibanco Holding SA,,Brazil,ITUB4,SMOKE_TEST_REFERENCE,BVMF,BRL,ITUB4.SA,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:ZA:NPN,Naspers Ltd.,,South Africa,NPN,SMOKE_TEST_REFERENCE,XJSE,ZAR,NPN.JO,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:ZA:SOL,Sasol Ltd.,,South Africa,SOL,SMOKE_TEST_REFERENCE,XJSE,ZAR,SOL.JO,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:ZA:SBK,Standard Bank Group Ltd.,,South Africa,SBK,SMOKE_TEST_REFERENCE,XJSE,ZAR,SBK.JO,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
