WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,Identity_Audit_Status,Identity_Audit_Issues,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Audit_UTC,Duplicate_ISIN_Group,Duplicate_Name_Group
WS:XASX:ALX,Atlas Arteria,,UNVERIFIED_EQUITY_SECURITY,Australia,ALX,Australian Securities Exchange,XASX,AUD,ALX.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALX,2026-08-23T21:48:43.950185+00:00,,
WS:XASX:AMC,Amcor,,UNVERIFIED_EQUITY_SECURITY,Australia,AMC,Australian Securities Exchange,XASX,AUD,AMC.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,AMC,2026-08-23T21:48:43.951788+00:00,,NAME:499f2cf37b8b
WS:XASX:AMP,AMP,,UNVERIFIED_EQUITY_SECURITY,Australia,AMP,Australian Securities Exchange,XASX,AUD,AMP.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AMP,2026-08-23T21:48:43.953394+00:00,,
WS:XASX:ANN,Ansell,,UNVERIFIED_EQUITY_SECURITY,Australia,ANN,Australian Securities Exchange,XASX,AUD,ANN.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ANN,2026-08-23T21:48:43.954968+00:00,,
WS:XASX:ANZ,Australia & New Zealand Banking Group,,UNVERIFIED_EQUITY_SECURITY,Australia,ANZ,Australian Securities Exchange,XASX,AUD,ANZ.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ANZ,2026-08-23T21:48:43.956572+00:00,,
WS:XASX:APA,APA Group,,UNVERIFIED_EQUITY_SECURITY,Australia,APA,Australian Securities Exchange,XASX,AUD,APA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,APA,2026-08-23T21:48:43.958129+00:00,,NAME:b3e1886e6a00
WS:XASX:APE,Eagers Automotive,,UNVERIFIED_EQUITY_SECURITY,Australia,APE,Australian Securities Exchange,XASX,AUD,APE.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,APE,2026-08-23T21:48:43.959709+00:00,,
WS:XASX:ARB,ARB Corporation,,UNVERIFIED_EQUITY_SECURITY,Australia,ARB,Australian Securities Exchange,XASX,AUD,ARB.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ARB,2026-08-23T21:48:43.961247+00:00,,
WS:XASX:ARG,Argo Investments,,UNVERIFIED_EQUITY_SECURITY,Australia,ARG,Australian Securities Exchange,XASX,AUD,ARG.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ARG,2026-08-23T21:48:43.962828+00:00,,
WS:XASX:ASB,Austal,,UNVERIFIED_EQUITY_SECURITY,Australia,ASB,Australian Securities Exchange,XASX,AUD,ASB.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ASB,2026-08-23T21:48:43.964456+00:00,,
WS:XASX:ASK,Abacus Storage King,,UNVERIFIED_EQUITY_SECURITY,Australia,ASK,Australian Securities Exchange,XASX,AUD,ASK.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ASK,2026-08-23T21:48:43.966013+00:00,,
WS:XASX:ASX,ASX,,UNVERIFIED_EQUITY_SECURITY,Australia,ASX,Australian Securities Exchange,XASX,AUD,ASX.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ASX,2026-08-23T21:48:43.967608+00:00,,
WS:XASX:AUB,AUB Group,,UNVERIFIED_EQUITY_SECURITY,Australia,AUB,Australian Securities Exchange,XASX,AUD,AUB.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AUB,2026-08-23T21:48:43.969160+00:00,,
WS:XASX:AZJ,Aurizon,,UNVERIFIED_EQUITY_SECURITY,Australia,AZJ,Australian Securities Exchange,XASX,AUD,AZJ.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AZJ,2026-08-23T21:48:43.970830+00:00,,
WS:XASX:BEN,Bendigo & Adelaide Bank,,UNVERIFIED_EQUITY_SECURITY,Australia,BEN,Australian Securities Exchange,XASX,AUD,BEN.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BEN,2026-08-23T21:48:43.972435+00:00,,
WS:XASX:BFL,BSP Financial Group,,UNVERIFIED_EQUITY_SECURITY,Australia,BFL,Australian Securities Exchange,XASX,AUD,BFL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BFL,2026-08-23T21:48:43.974006+00:00,,
WS:XASX:BGA,Bega Cheese,,UNVERIFIED_EQUITY_SECURITY,Australia,BGA,Australian Securities Exchange,XASX,AUD,BGA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BGA,2026-08-23T21:48:43.975632+00:00,,
WS:XASX:BGL,Bellevue Gold,,UNVERIFIED_EQUITY_SECURITY,Australia,BGL,Australian Securities Exchange,XASX,AUD,BGL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BGL,2026-08-23T21:48:43.977181+00:00,,
WS:XASX:BHP,BHP,,UNVERIFIED_EQUITY_SECURITY,Australia,BHP,Australian Securities Exchange,XASX,AUD,BHP.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,BHP,2026-08-23T21:48:43.978788+00:00,,NAME:c4f89db729da
WS:XASX:BOQ,Bank of Queensland,,UNVERIFIED_EQUITY_SECURITY,Australia,BOQ,Australian Securities Exchange,XASX,AUD,BOQ.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BOQ,2026-08-23T21:48:43.980371+00:00,,
WS:XASX:BPT,Beach Energy,,UNVERIFIED_EQUITY_SECURITY,Australia,BPT,Australian Securities Exchange,XASX,AUD,BPT.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BPT,2026-08-23T21:48:43.981951+00:00,,
WS:XASX:BRG,Breville Group,,UNVERIFIED_EQUITY_SECURITY,Australia,BRG,Australian Securities Exchange,XASX,AUD,BRG.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BRG,2026-08-23T21:48:43.983568+00:00,,
WS:XASX:BSL,BlueScope,,UNVERIFIED_EQUITY_SECURITY,Australia,BSL,Australian Securities Exchange,XASX,AUD,BSL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BSL,2026-08-23T21:48:43.985107+00:00,,
WS:XASX:BWP,BWP Trust,,UNVERIFIED_EQUITY_SECURITY,Australia,BWP,Australian Securities Exchange,XASX,AUD,BWP.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BWP,2026-08-23T21:48:43.986684+00:00,,
WS:XASX:BXB,Brambles,,UNVERIFIED_EQUITY_SECURITY,Australia,BXB,Australian Securities Exchange,XASX,AUD,BXB.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,BXB,2026-08-23T21:48:43.988228+00:00,,
WS:XASX:CAR,CAR Group,,UNVERIFIED_EQUITY_SECURITY,Australia,CAR,Australian Securities Exchange,XASX,AUD,CAR.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,CAR,2026-08-23T21:48:43.989898+00:00,,
WS:XASX:CBA,Commonwealth Bank,,UNVERIFIED_EQUITY_SECURITY,Australia,CBA,Australian Securities Exchange,XASX,AUD,CBA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,CBA,2026-08-23T21:48:43.991525+00:00,,
WS:XASX:CDA,Codan,,UNVERIFIED_EQUITY_SECURITY,Australia,CDA,Australian Securities Exchange,XASX,AUD,CDA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,CDA,2026-08-23T21:48:43.993071+00:00,,
WS:XASX:CEN,Contact Energy,,UNVERIFIED_EQUITY_SECURITY,Australia,CEN,Australian Securities Exchange,XASX,AUD,CEN.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,CEN,2026-08-23T21:48:43.994865+00:00,,NAME:6338c51903b0
WS:XASX:CGF,Challenger,,UNVERIFIED_EQUITY_SECURITY,Australia,CGF,Australian Securities Exchange,XASX,AUD,CGF.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,CGF,2026-08-23T21:48:43.996815+00:00,,
WS:XASX:CHC,Charter Hall,,UNVERIFIED_EQUITY_SECURITY,Australia,CHC,Australian Securities Exchange,XASX,AUD,CHC.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,CHC,2026-08-23T21:48:43.998479+00:00,,
WS:XASX:CIA,Champion Iron,,UNVERIFIED_EQUITY_SECURITY,Australia,CIA,Australian Securities Exchange,XASX,AUD,CIA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,CIA,2026-08-23T21:48:44.000070+00:00,,
WS:XASX:CIP,Centuria Industrial REIT,,UNVERIFIED_EQUITY_SECURITY,Australia,CIP,Australian Securities Exchange,XASX,AUD,CIP.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,CIP,2026-08-23T21:48:44.001695+00:00,,
