Existing_WS_ID,Existing_Name,Existing_Primary_MIC,Existing_Primary_Ticker,Recovery_Candidate_Score,Selection_Status,Selection_Reason
"WS:XTSE:BTE","Baytex Energy Corp.","XTSE","BTE","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BTO","B2Gold Corp.","XTSE","BTO","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BYD","Boyd Group Services Inc.","XTSE","BYD","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CAE","CAE Inc.","XTSE","CAE","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CCO","Cameco Corporation","XTSE","CCO","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CEU","CES Energy Solutions Corp.","XTSE","CEU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CG","Centerra Gold Inc.","XTSE","CG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CLS","Celestica Inc.","XTSE","CLS","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CM","Canadian Imperial Bank Of Commerce","XTSE","CM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CNQ","Canadian Natural Resources Limited","XTSE","CNQ","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CNR","Canadian National Railway Company","XTSE","CNR","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CP","Canadian Pacific Kansas City Limited","XTSE","CP","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CPX","Capital Power Corporation","XTSE","CPX","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CS","Capstone Copper Corp.","XTSE","CS","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CSU","Constellation Software Inc.","XTSE","CSU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CVE","Cenovus Energy Inc.","XTSE","CVE","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:DFY","Definity Financial Corporation","XTSE","DFY","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:DML","Denison Mines Corp.","XTSE","DML","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:DOL","Dollarama Inc.","XTSE","DOL","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:DPM","DPM Metals Inc.","XTSE","DPM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:DSG","Descartes Systems Group Inc. (The)","XTSE","DSG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:DSV","Discovery Mining Ltd.","XTSE","DSV","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EDR","Endeavour Silver Corp.","XTSE","EDR","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EFN","Element Fleet Management Corp.","XTSE","EFN","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EFR","Energy Fuels Inc.","XTSE","EFR","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EFX","Enerflex Ltd.","XTSE","EFX","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EIF","Exchange Income Corporation","XTSE","EIF","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:ELD","Eldorado Gold Corporation","XTSE","ELD","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EMA","Emera Incorporated","XTSE","EMA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:ENB","Enbridge Inc.","XTSE","ENB","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EQB","EQB Inc.","XTSE","EQB","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EQX","Equinox Gold Corp.","XTSE","EQX","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:ERO","Ero Copper Corp.","XTSE","ERO","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EXE","Extendicare Inc.","XTSE","EXE","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FM","First Quantum Minerals Ltd.","XTSE","FM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FNV","Franco-Nevada Corporation","XTSE","FNV","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FRU","Freehold Royalties Ltd.","XTSE","FRU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FSV","FirstService Corporation","XTSE","FSV","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FTS","Fortis Inc.","XTSE","FTS","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FTT","Finning International Inc.","XTSE","FTT","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FVI","Fortuna Mining Corp.","XTSE","FVI","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:GEI","Gibson Energy Inc.","XTSE","GEI","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:GIL","Gildan Activewear Inc.","XTSE","GIL","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:GMIN","G Mining Ventures Corp.","XTSE","GMIN","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:GWO","Great-West Lifeco Inc.","XTSE","GWO","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:H","Hydro One Limited","XTSE","H","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:HBM","Hudbay Minerals Inc.","XTSE","HBM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:HWX","Headwater Exploration Inc.","XTSE","HWX","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:IAG","iA Financial Corporation Inc.","XTSE","IAG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:IAU","i-80 Gold Corp.","XTSE","IAU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:IFC","Intact Financial Corporation","XTSE","IFC","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:IGM","IGM Financial Inc.","XTSE","IGM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:IMG","IAMGOLD Corporation","XTSE","IMG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:IMO","Imperial Oil Limited","XTSE","IMO","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:IPCO","International Petroleum Corporation","XTSE","IPCO","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:IVN","Ivanhoe Mines Ltd.","XTSE","IVN","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:JWEL","Jamieson Wellness Inc.","XTSE","JWEL","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:K","Kinross Gold Corporation","XTSE","K","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:KEL","Kelt Exploration Ltd.","XTSE","KEL","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:KEY","Keyera Corp.","XTSE","KEY","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:KNT","K92 Mining Inc.","XTSE","KNT","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:KXS","Kinaxis Inc.","XTSE","KXS","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:L","Loblaw Companies Limited","XTSE","L","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:LAC","Lithium Americas Corp.","XTSE","LAC","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:LB","Laurentian Bank of Canada","XTSE","LB","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:LIF","Labrador Iron Ore Royalty Corporation","XTSE","LIF","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:LNR","Linamar Corporation","XTSE","LNR","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:LUG","Lundin Gold Inc.","XTSE","LUG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:LUN","Lundin Mining Corporation","XTSE","LUN","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:MAU","Montage Gold Corp.","XTSE","MAU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:MDA","MDA Space Ltd.","XTSE","MDA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:MFC","Manulife Financial Corporation","XTSE","MFC","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:MFI","Maple Leaf Foods Inc.","XTSE","MFI","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:MG","Magna International Inc.","XTSE","MG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:MRU","Metro Inc.","XTSE","MRU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:MTL","Mullen Group Ltd.","XTSE","MTL","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:MX","Methanex Corporation","XTSE","MX","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:NA","National Bank of Canada","XTSE","NA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:NFI","NFI Group Inc.","XTSE","NFI","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:NG","NovaGold Resources Inc.","XTSE","NG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:NGEX","NGEx Minerals Ltd.","XTSE","NGEX","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:NPI","Northland Power Inc.","XTSE","NPI","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:NTR","Nutrien Ltd.","XTSE","NTR","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:NWC","North West Company Inc. (The)","XTSE","NWC","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:NXE","NexGen Energy Ltd.","XTSE","NXE","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:OGC","OceanaGold Corporation","XTSE","OGC","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:OR","OR Royalties Inc.","XTSE","OR","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:OTEX","Open Text Corporation","XTSE","OTEX","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:PAAS","Pan American Silver Corp.","XTSE","PAAS","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:PBH","Premium Brands Holdings Corporation","XTSE","PBH","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:PEY","Peyto Exploration & Development Corp.","XTSE","PEY","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:PPL","Pembina Pipeline Corporation","XTSE","PPL","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:PPTA","Perpetua Resources Corp.","XTSE","PPTA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:PSK","PrairieSky Royalty Ltd.","XTSE","PSK","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:PXT","Parex Resources Inc.","XTSE","PXT","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:QSR","Restaurant Brands International Inc.","XTSE","QSR","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:RBA","RB Global Inc.","XTSE","RBA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:RCH","Richelieu Hardware Ltd.","XTSE","RCH","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:RUS","Russel Metals Inc.","XTSE","RUS","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:RY","Royal Bank of Canada","XTSE","RY","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SAP","Saputo Inc.","XTSE","SAP","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SCR","Strathcona Resources Ltd.","XTSE","SCR","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SDE","Spartan Delta Corp.","XTSE","SDE","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SEA","Seabridge Gold Inc.","XTSE","SEA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SES","Secure Waste Infrastructure Corp.","XTSE","SES","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SIA","Sienna Senior Living Inc.","XTSE","SIA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SII","Sprott Inc.","XTSE","SII","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SJ","Stella-Jones Inc.","XTSE","SJ","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SKE","Skeena Resources Limited","XTSE","SKE","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SLF","Sun Life Financial Inc.","XTSE","SLF","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SOBO","South Bow Corporation","XTSE","SOBO","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SPB","Superior Plus Corp.","XTSE","SPB","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SSRM","SSR Mining Inc.","XTSE","SSRM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:STN","Stantec Inc.","XTSE","STN","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SU","Suncor Energy Inc.","XTSE","SU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SVM","Silvercorp Metals Inc.","XTSE","SVM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SXGC","Southern Cross Gold Consolidated Ltd.","XTSE","SXGC","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:T","TELUS Corporation","XTSE","T","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TA","TransAlta Corporation","XTSE","TA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TD","Toronto-Dominion Bank (The)","XTSE","TD","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TFII","TFI International Inc.","XTSE","TFII","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TFPM","Triple Flag Precious Metals Corp.","XTSE","TFPM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TIH","Toromont Industries Ltd.","XTSE","TIH","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TKO","Trekor Metals Limited","XTSE","TKO","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TOU","Tourmaline Oil Corp.","XTSE","TOU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TPZ","Topaz Energy Corp.","XTSE","TPZ","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TRI","Thomson Reuters Corporation","XTSE","TRI","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TRP","TC Energy Corporation","XTSE","TRP","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TSU","Trisura Group Ltd.","XTSE","TSU","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TVE","Tamarack Valley Energy Ltd.","XTSE","TVE","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TVK","TerraVest Industries Inc.","XTSE","TVK","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TXG","Torex Gold Resources Inc.","XTSE","TXG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:USA","Americas Gold and Silver Corporation","XTSE","USA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:VET","Vermilion Energy Inc.","XTSE","VET","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:VNP","5N Plus Inc.","XTSE","VNP","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:VZLA","Vizsla Silver Corp.","XTSE","VZLA","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:WCN","Waste Connections Inc.","XTSE","WCN","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:WCP","Whitecap Resources Inc.","XTSE","WCP","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:WDO","Wesdome Gold Mines Ltd.","XTSE","WDO","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:WFG","West Fraser Timber Co. Ltd.","XTSE","WFG","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:WN","George Weston Limited","XTSE","WN","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:WPM","Wheaton Precious Metals Corp.","XTSE","WPM","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:WSP","WSP Global Inc.","XTSE","WSP","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:X","TMX Group Limited","XTSE","X","14","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:AC","Air Canada Voting and Variable Voting Shares","XTSE","AC","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:ACO.X","ATCO Ltd. Class I Non-voting Shares","XTSE","ACO.X","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:AP.UN","Allied Properties Real Estate Investment Trust","XTSE","AP.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:ATZ","Aritzia Inc. Subordinate Voting Shares","XTSE","ATZ","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
