Existing_WS_ID,Existing_Name,Existing_Primary_MIC,Existing_Primary_Ticker,Existing_ISIN,Lane_A_Status,Auto_ISIN_Candidate,Auto_Security_Name,Auto_Security_Class,Auto_Instrument_Type,Auto_Primary_MIC,Auto_Primary_Ticker,Auto_Source,Auto_Source_Rank,Auto_Confidence,Auto_Notes,Verified_Issuer,Verified_Security_Name,Verified_Security_Class,Verified_Instrument_Type,Verified_ISIN,Verified_Primary_Exchange,Verified_Primary_MIC,Verified_Primary_Ticker,CUSIP_Crosscheck,Evidence_Primary_Source,Evidence_Primary_Rank,Evidence_Primary_Date,Evidence_Supporting_Source,Evidence_Supporting_Rank,Evidence_Supporting_Date,ISIN_Format_Check,ISIN_Luhn_Check,Security_Class_Match,Ticker_Match,MIC_Match,Corporate_Action_Status,Collision_Status,Final_Status,Review_Reason,Evidence_Notes
"WS:XTSE:ALA","AltaGas Ltd.","XTSE","ALA","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ALA","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","AltaGas Ltd.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ALA","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ALS","Altius Minerals Corporation","XTSE","ALS","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ALS","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Altius Minerals Corporation","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ALS","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AP.UN","Allied Properties Real Estate Investment Trust","XTSE","AP.UN","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AP.UN","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Allied Properties Real Estate Investment Trust","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AP.UN","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AQN","Algonquin Power & Utilities Corp.","XTSE","AQN","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AQN","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Algonquin Power & Utilities Corp.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AQN","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ARE","Aecon Group Inc.","XTSE","ARE","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ARE","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Aecon Group Inc.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ARE","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ARIS","Aris Mining Corporation","XTSE","ARIS","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ARIS","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Aris Mining Corporation","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ARIS","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ARX","ARC Resources Ltd.","XTSE","ARX","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ARX","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","ARC Resources Ltd.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ARX","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ASM","Avino Silver & Gold Mines Ltd.","XTSE","ASM","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ASM","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Avino Silver & Gold Mines Ltd.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ASM","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ATD","Alimentation Couche-Tard Inc.","XTSE","ATD","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ATD","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Alimentation Couche-Tard Inc.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ATD","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ATH","Athabasca Oil Corporation","XTSE","ATH","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ATH","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Athabasca Oil Corporation","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ATH","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ATRL","AtkinsRéalis Group Inc.","XTSE","ATRL","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ATRL","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","AtkinsRéalis Group Inc.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ATRL","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ATS","ATS Corporation","XTSE","ATS","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ATS","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","ATS Corporation","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ATS","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ATZ","Aritzia Inc. Subordinate Voting Shares","XTSE","ATZ","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ATZ","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Aritzia Inc. Subordinate Voting Shares","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ATZ","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AYA","Aya Gold & Silver Inc.","XTSE","AYA","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AYA","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Aya Gold & Silver Inc.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AYA","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:BAM","Brookfield Asset Management Ltd. Class A Limited Voting Shares","XTSE","BAM","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","BAM","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Brookfield Asset Management Ltd. Class A Limited Voting Shares","","","UNRESOLVED","Toronto Stock Exchange","XTSE","BAM","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:BB","BlackBerry Limited","XTSE","BB","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","BB","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","BlackBerry Limited","","","UNRESOLVED","Toronto Stock Exchange","XTSE","BB","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:BBD.B","Bombardier Inc. Class B Subordinate Voting Shares","XTSE","BBD.B","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","BBD.B","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Bombardier Inc. Class B Subordinate Voting Shares","","","UNRESOLVED","Toronto Stock Exchange","XTSE","BBD.B","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:BBUC","Brookfield Business Corporation Class A Subordinate Voting Shares","XTSE","BBUC","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","BBUC","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Brookfield Business Corporation Class A Subordinate Voting Shares","","","UNRESOLVED","Toronto Stock Exchange","XTSE","BBUC","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
