WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,MedianTurnover20_EUR,MedianTurnover60_EUR,Instrument_Decision_v0_14,Instrument_Type_Resolved_v0_14,Instrument_Resolution_Method_v0_14,Instrument_Resolution_Reason_v0_14,Instrument_Evidence_URL_v0_14,Instrument_Evidence_Note_v0_14,Strict_Eligibility_v0_14,Root_Cause_v0_23,Remediation_Class_v0_23,Evidence_State_v0_23
WS:XTSE:AAUC,Allied Gold Corporation,Canada,CA_TSX,XTSE,AAUC,AAUC.TO,26474139.294227973,20968041.319845285,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:AYA,Aya Gold & Silver Inc.,Canada,CA_TSX,XTSE,AYA,AYA.TO,24820027.10784158,20353372.343289755,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:BAM,Brookfield Asset Management Ltd. Class A Limited Voting Shares,Canada,CA_TSX,XTSE,BAM,BAM.TO,58140022.3869778,55306113.64542352,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:BB,BlackBerry Limited,Canada,CA_TSX,XTSE,BB,BB.TO,18329248.608583808,37269550.139951676,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:BBD.B,Bombardier Inc. Class B Subordinate Voting Shares,Canada,CA_TSX,XTSE,BBD.B,BBD-B.TO,56872500.718660094,60279698.674822584,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:BCE,BCE Inc.,Canada,CA_TSX,XTSE,BCE,BCE.TO,77822517.16005056,84047773.60240024,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:BMO,Bank of Montreal,Canada,CA_TSX,XTSE,BMO,BMO.TO,346807521.8454844,303108191.56887275,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:BN,Brookfield Corporation Class A Limited Voting Shares,Canada,CA_TSX,XTSE,BN,BN.TO,105714155.4391059,96772468.09838101,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:BNS,Bank of Nova Scotia (The),Canada,CA_TSX,XTSE,BNS,BNS.TO,235701244.0546587,253565134.97508097,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:BTO,B2Gold Corp.,Canada,CA_TSX,XTSE,BTO,BTO.TO,16688794.273016531,15515887.186499007,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CAE,CAE Inc.,Canada,CA_TSX,XTSE,CAE,CAE.TO,20028380.51544448,18118204.27870393,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CCL.B,CCL Industries Inc. Unlimited Class B Non-Voting Shares,Canada,CA_TSX,XTSE,CCL.B,CCL-B.TO,21897176.51011035,22002136.93991848,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CCO,Cameco Corporation,Canada,CA_TSX,XTSE,CCO,CCO.TO,76690775.20800842,80216045.00960676,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CLS,Celestica Inc.,Canada,CA_TSX,XTSE,CLS,CLS.TO,144176545.15165,115713331.37575349,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CM,Canadian Imperial Bank Of Commerce,Canada,CA_TSX,XTSE,CM,CM.TO,199927085.1671573,240345647.7478184,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CNQ,Canadian Natural Resources Limited,Canada,CA_TSX,XTSE,CNQ,CNQ.TO,288360443.9832796,458520501.89027643,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CNR,Canadian National Railway Company,Canada,CA_TSX,XTSE,CNR,CNR.TO,157542181.73902822,159249506.00755244,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CP,Canadian Pacific Kansas City Limited,Canada,CA_TSX,XTSE,CP,CP.TO,97442006.31655854,94535739.30296649,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CPX,Capital Power Corporation,Canada,CA_TSX,XTSE,CPX,CPX.TO,26272494.450017698,26180087.602611937,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CS,Capstone Copper Corp.,Canada,CA_TSX,XTSE,CS,CS.TO,29744996.296188228,29320278.000793066,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CSU,Constellation Software Inc.,Canada,CA_TSX,XTSE,CSU,CSU.TO,107370599.78695607,102773009.94718084,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
WS:XTSE:CTC.A,Canadian Tire Corporation Limited Class A Non-Voting Shares,Canada,CA_TSX,XTSE,CTC.A,CTC-A.TO,26043605.82743664,22799421.930151477,NOT_VERIFIED,UNKNOWN,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-tsx-canadian-indices.pdf | https://www.tsx.com/en/resource/701,Combined official S&P/TSX Composite eligibility and TMX root/suffix semantics; v0.13 exact-current-symbol confirmation required.,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,OFFICIAL_REFERENCE_VALIDATION_FAILED:OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED
