Primary_Universe_Index,Source_Class,Remediation_Class_v0_23,Rows,Recommended_Action_v0_23
EU_STOXX600,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,8,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
MX_IPC,INSTRUMENT_UNRESOLVED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,6,PROBE_REPRODUCIBLE_BULK_SECURITY_TYPE_SOURCE_NO_PER_SECURITY_FANOUT
AU_ASX200,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,5,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
IN_NIFTY50,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,5,NO_RULE_WEAKENING_KEEP_EXCLUDED
AU_ASX200,OTHER_NON_STRICT,DATA_OR_FX_VERIFICATION_CANDIDATE,3,AUDIT_DATA_OR_FX_COVERAGE_BEFORE_RETRY
CN_CSI300,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,3,NO_RULE_WEAKENING_KEEP_EXCLUDED
AU_ASX200,HISTORICAL_INACTIVE,VALID_HISTORICAL_INACTIVE_EXCLUSION_NO_REMEDIATION,2,PRESERVE_EVIDENCE_REMEDIATION_EXCLUSION
BR_IBRX100,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,2,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
CA_TSX,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,2,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
NZ_NZX50,HISTORICAL_INACTIVE,VALID_HISTORICAL_INACTIVE_EXCLUSION_NO_REMEDIATION,2,PRESERVE_EVIDENCE_REMEDIATION_EXCLUSION
CA_TSX,OTHER_NON_STRICT,VALID_INSTRUMENT_GATE_EXCLUSION,1,NO_RULE_WEAKENING_KEEP_EXCLUDED
CN_CSI300,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,1,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
CN_CSI300,OTHER_NON_STRICT,DATA_OR_FX_VERIFICATION_CANDIDATE,1,AUDIT_DATA_OR_FX_COVERAGE_BEFORE_RETRY
HK_HSI,OTHER_NON_STRICT,VALID_INSTRUMENT_GATE_EXCLUSION,1,NO_RULE_WEAKENING_KEEP_EXCLUDED
KR_KOSPI200,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,1,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
KR_KOSPI200,OTHER_NON_STRICT,DATA_OR_FX_VERIFICATION_CANDIDATE,1,AUDIT_DATA_OR_FX_COVERAGE_BEFORE_RETRY
MX_IPC,OTHER_NON_STRICT,VALID_INSTRUMENT_GATE_EXCLUSION,1,NO_RULE_WEAKENING_KEEP_EXCLUDED
MX_IPC,HISTORICAL_INACTIVE,VALID_HISTORICAL_INACTIVE_EXCLUSION_NO_REMEDIATION,1,PRESERVE_EVIDENCE_REMEDIATION_EXCLUSION
NZ_NZX50,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,1,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
US_SP1500,HISTORICAL_INACTIVE,VALID_HISTORICAL_INACTIVE_EXCLUSION_NO_REMEDIATION,1,PRESERVE_EVIDENCE_REMEDIATION_EXCLUSION
