WS_ID,Primary_Ticker,ISIN,Primary_MIC,Admission_Reason,GICS_Sector,Review_Category,IVV_Ticker,IVV_ISIN,Ready,Integration_Class
US1:NOISIN:XNAS,NWS,US65249B1098|US65249B2088,XNAS,IDENTITY_AMBIGUOUS,Communication Services,REVIEW_SHARE_CLASS,NWS,US65249B2088,NOT_READY,D
US1:NOISIN:XNYS,NCLH,,XNYS,IDENTITY_INCOMPLETE,Consumer Discretionary,REVIEW_IDENTITY,NCLH,BMG667211046,NOT_READY,D
US1:NOISIN:XNAS,NXPI,,XNAS,IDENTITY_INCOMPLETE,Information Technology,REVIEW_IDENTITY,NXPI,NL0009538784,NOT_READY,D
US1:US68389X1054:NOMIC,ORCL,US68389X1054,XNAS|XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_PRIMARY_MIC,ORCL,US68389X1054,NOT_READY,D
US1:NOISIN:NOMIC,PSKY,,,IDENTITY_INCOMPLETE,Communication Services,REVIEW_MULTIPLE_REASONS,PSKY,US69932A2042,NOT_READY,D
US1:NOISIN:XNYS,PNR,,XNYS,IDENTITY_INCOMPLETE,Industrials,REVIEW_IDENTITY,PNR,IE00BLS09M33,NOT_READY,D
US1:NOISIN:XNAS,PFG,,XNAS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,PFG,US74251V1026,NOT_READY,D
US1:US74340W1036:XNYS,PLD,US74340W1036,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,PLD,US74340W1036,NOT_READY,D
US1:NOISIN:XNYS,PRU,US7443201023|US74432EAH53|US74432EAP79|US74432EAU64|US74432EBB74|US74432EBE14|US74432ECA82|US74432ECB65|US74438EAC03|US74438EAH99|US74438EAT38|US74438EAZ97|US74438EBN58|US74438EBQ89|US74438EBW57|US74438EBX31,XNYS,IDENTITY_AMBIGUOUS,Financials,REVIEW_SHARE_CLASS,PRU,US7443201022,NOT_READY,D
US1:US74460D1090:XNYS,PSA,US74460D1090,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,PSA,US74460D1090,NOT_READY,D
US1:NOISIN:XNYS,DGX,,XNYS,IDENTITY_INCOMPLETE,Health Care,REVIEW_IDENTITY,DGX,US74834L1008,NOT_READY,D
US1:NOISIN:XNYS,Q,,XNYS,IDENTITY_INCOMPLETE,Information Technology,REVIEW_IDENTITY,Q,US74743L1008,NOT_READY,D
US1:NOISIN:XNYS,RDDT,,XNYS,IDENTITY_INCOMPLETE,Communication Services,REVIEW_IDENTITY,RDDT,US75734B1008,NOT_READY,D
US1:US7561091049:XNYS,O,US7561091049,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,O,US7561091049,NOT_READY,D
US1:US7588491032:XNYS,REG,US7588491032,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,REG,US7588491032,NOT_READY,D
US1:NOISIN:XNYS,RVTY,,XNYS,IDENTITY_INCOMPLETE,Health Care,REVIEW_IDENTITY,RVTY,US7140461093,NOT_READY,D
US1:NOISIN:XNYS,RCL,,XNYS,IDENTITY_INCOMPLETE,Consumer Discretionary,REVIEW_IDENTITY,RCL,LR0008862868,NOT_READY,D
US1:US78410G1040:XNAS,SBAC,US78410G1040,XNAS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,SBAC,US78410G1040,NOT_READY,D
US1:NOISIN:XNYS,SLB,,XNYS,IDENTITY_INCOMPLETE,Energy,REVIEW_IDENTITY,SLB,AN8068571086,NOT_READY,D
US1:NOISIN:XNAS,STX,,XNAS,IDENTITY_INCOMPLETE,Information Technology,REVIEW_IDENTITY,STX,IE00BKVD2N49,NOT_READY,D
US1:NOISIN:XNYS,SRE,,XNYS,IDENTITY_INCOMPLETE,Utilities,REVIEW_IDENTITY,SRE,US8168511090,NOT_READY,D
US1:NOISIN:XNYS,SPG,US8288061091|US8288062081|US8288063071|US8288066041|US8288067031|US8288068021|US8288068773|US8288068856,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_MULTIPLE_REASONS,SPG,US8288061091,NOT_READY,D
US1:NOISIN:XNYS,SW,,XNYS,IDENTITY_INCOMPLETE,Materials,REVIEW_IDENTITY,SW,IE00028FXN24,NOT_READY,D
US1:NOISIN:XNYS,TEL,,XNYS,IDENTITY_INCOMPLETE,Information Technology,REVIEW_IDENTITY,TEL,IE000IVNQZ81,NOT_READY,D
US1:US8807701029:NOMIC,TER,US8807701029,XNAS|XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_PRIMARY_MIC,TER,US8807701029,NOT_READY,D
US1:NOISIN:XNAS,TRMB,US8962391004|US8962391186|US896239AB68,XNAS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_SHARE_CLASS,TRMB,US8962391004,NOT_READY,D
US1:US9026531049:XNYS,UDR,US9026531049,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,UDR,US9026531049,NOT_READY,D
US1:US9100471096:NOMIC,UAL,US9100471096,XNAS|XNYS,IDENTITY_AMBIGUOUS,Industrials,REVIEW_PRIMARY_MIC,UAL,US9100471096,NOT_READY,D
US1:US92276F1003:XNYS,VTR,US92276F1003,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,VTR,US92276F1003,NOT_READY,D
US1:US92343V1044:NOMIC,VZ,US92343V1044,XNAS|XNYS,IDENTITY_AMBIGUOUS,Communication Services,REVIEW_PRIMARY_MIC,VZ,US92343V1044,NOT_READY,D
US1:US9256521090:XNYS,VICI,US9256521090,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,VICI,US9256521090,NOT_READY,D
US1:US29476L1070:XNYS,VMRK,US29476L1070,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,VMRK,US29476L1070,NOT_READY,D
US1:US95040Q1040:XNYS,WELL,US95040Q1040,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,WELL,US95040Q1040,NOT_READY,D
US1:US9621661043:XNYS,WY,US9621661043,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,WY,US9621661043,NOT_READY,D
US1:NOISIN:XNAS,WTW,,XNAS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,WTW,IE00BDB6Q211,NOT_READY,D
US1:US98138H1014:NOMIC,WDAY,US98138H1014,XNAS|XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_PRIMARY_MIC,WDAY,US98138H1014,NOT_READY,D
US1:US98389B1008:NOMIC,XEL,US98389B1008,XNAS|XNYS,IDENTITY_AMBIGUOUS,Utilities,REVIEW_PRIMARY_MIC,XEL,US98389B1008,NOT_READY,D
