WS_ID,Name,Primary_Universe_Index,Yahoo_Symbol,ws_id,status,reason_code,unique_bars,valid_bars,suspicious_returns,first_bar_date,last_bar_date
WS:XPAR:ABVX.PA,ABIVAX,EU_STOXX600,ABVX.PA,WS:XPAR:ABVX.PA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,511,511,1,2024-08-21,2026-08-21
WS:XSTO:OCTVSDB.ST,OCTAVE INTELLIGENCE SDR,EU_STOXX600,OCTV,WS:XSTO:OCTVSDB.ST,WARMUP,INSUFFICIENT_HISTORY,64,64,0,2026-05-21,2026-08-21
WS:XSTO:VSURE.ST,VERISURE,EU_STOXX600,VSURE.ST,WS:XSTO:VSURE.ST,WARMUP,INSUFFICIENT_HISTORY,1,1,0,2026-08-21,2026-08-21
WS:XKRX:0126Z0,Samsung Epis,KR_KOSPI200,0126Z0.KS,WS:XKRX:0126Z0,WARMUP,INSUFFICIENT_HISTORY,181,181,0,2025-11-25,2026-08-21
WS:XNZE:THL,Tourism Holdings Limited,NZ_NZX50,THL.NZ,WS:XNZE:THL,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,499,499,1,2024-08-26,2026-08-24
WS:US:AAP,"Advance Auto Parts, Inc.",US_SP1500,AAP,WS:US:AAP,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:ADIG,ADI Global Distribution,US_SP1500,ADIG,WS:US:ADIG,WARMUP,INSUFFICIENT_HISTORY,17,17,0,2026-07-30,2026-08-21
WS:US:CORT,Corcept Therapeutics Incorporated,US_SP1500,CORT,WS:US:CORT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2,2024-08-22,2026-08-21
WS:US:ECHO,EchoStar,US_SP1500,ECHO,WS:US:ECHO,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:EFOR,Everforth Inc.,US_SP1500,EFOR,WS:US:EFOR,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:FDXF,FedEx Freight,US_SP1500,FDXF,WS:US:FDXF,WARMUP,INSUFFICIENT_HISTORY,61,61,0,2026-05-27,2026-08-21
WS:US:HONA,Honeywell Aerospace,US_SP1500,HONA,WS:US:HONA,WARMUP,INSUFFICIENT_HISTORY,48,48,0,2026-06-15,2026-08-21
WS:US:IESC,IES Holdings,US_SP1500,IESC,WS:US:IESC,STALE,LAST_BAR_TOO_OLD,477,476,0,2024-08-22,2026-07-17
WS:US:KD,Kyndryl,US_SP1500,KD,WS:US:KD,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:LRN,"Stride, Inc.",US_SP1500,LRN,WS:US:LRN,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:MBGL,"Mobility Global, Inc.",US_SP1500,MBGL,WS:US:MBGL,WARMUP,INSUFFICIENT_HISTORY,40,40,0,2026-06-26,2026-08-21
WS:US:MEDP,Medpace,US_SP1500,MEDP,WS:US:MEDP,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:MFP,"Midera Food Processing, Inc.",US_SP1500,MFP,WS:US:MFP,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,40,40,1,2026-06-26,2026-08-21
WS:US:MNST,Monster Beverage,US_SP1500,MNST,WS:US:MNST,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,500,500,5,2024-08-22,2026-08-21
WS:US:MP,MP Materials,US_SP1500,MP,WS:US:MP,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:MRNA,Moderna,US_SP1500,MRNA,WS:US:MRNA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:MXL,"MaxLinear, Inc.",US_SP1500,MXL,WS:US:MXL,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:PRIM,Primoris Services Corporation,US_SP1500,PRIM,WS:US:PRIM,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:Q,Qnity Electronics,US_SP1500,Q,WS:US:Q,WARMUP,INSUFFICIENT_HISTORY,206,206,0,2025-10-27,2026-08-21
WS:US:SEZL,Sezzle,US_SP1500,SEZL,WS:US:SEZL,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:SOLS,Solstice Advanced Materials,US_SP1500,SOLS,WS:US:SOLS,WARMUP,INSUFFICIENT_HISTORY,211,211,0,2025-10-20,2026-08-21
WS:US:STRL,Sterling Infrastructure,US_SP1500,STRL,WS:US:STRL,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:VGNT,Versigent PLC,US_SP1500,VGNT,WS:US:VGNT,WARMUP,INSUFFICIENT_HISTORY,102,102,0,2026-03-27,2026-08-21
WS:US:VIR,"Vir Biotechnology, Inc.",US_SP1500,VIR,WS:US:VIR,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:VRRM,Verra Mobility Corporation,US_SP1500,VRRM,WS:US:VRRM,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,1,2024-08-22,2026-08-21
WS:US:VSNT,"Versant Media Group, Inc.",US_SP1500,VSNT,WS:US:VSNT,WARMUP,INSUFFICIENT_HISTORY,172,172,0,2025-12-15,2026-08-21
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,AB InBev,ZA_TOP40,ANH.JO,WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,2,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:3598A879F2EA6E99,Sanlam,ZA_TOP40,SLM.JO,WS:SRC:ZA_TOP40:3598A879F2EA6E99,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,2,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:5F247CB49B9B155E,Vodacom,ZA_TOP40,VOD.JO,WS:SRC:ZA_TOP40:5F247CB49B9B155E,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,2,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:670585B513E60D68,Woolworths Holdings,ZA_TOP40,WHL.JO,WS:SRC:ZA_TOP40:670585B513E60D68,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,0,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:72B40FB15EDACCA3,Clicks,ZA_TOP40,CLS.JO,WS:SRC:ZA_TOP40:72B40FB15EDACCA3,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,0,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,Exxaro,ZA_TOP40,EXX.JO,WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,496,0,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,Standard Bank,ZA_TOP40,SBK.JO,WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,2,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:DE0F69D92EFF3FE9,Old Mutual,ZA_TOP40,OMU.JO,WS:SRC:ZA_TOP40:DE0F69D92EFF3FE9,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,0,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:FBAF8D9D0C6FF09E,MTN Group,ZA_TOP40,MTN.JO,WS:SRC:ZA_TOP40:FBAF8D9D0C6FF09E,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,0,2024-08-21,2026-08-21
