WS_ID,Yahoo_Symbol,Name,Primary_MIC,Liquidity_Class,MedianTurnover20_EUR,Verified_Share_Class,Instrument_Bucket,Eligibility_DryRun,Universe_Write
WS:XDUB:KSP.I,KRX.IR,KINGSPAN GRP,XDUB,PREFERRED,37083468.11,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XDUB:KYGA.I,KRZ.IR,KERRY GRP,XDUB,PREFERRED,20862292.53,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:ADSGN.DE,ADS.DE,ADIDAS,XETR,PREFERRED,81109522.16,ordinary bearer shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:AG1G.DE,AG1.DE,AUTO1 GROUP,XETR,LOW_EXCEPTION,7072837.36,bearer shares with no par value,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:AIXGN.DE,AIXA.DE,AIXTRON,XETR,PREFERRED,20700331.46,no-par-value registered ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:ALVG.DE,ALV.DE,ALLIANZ,XETR,PREFERRED,189346303.0,registered shares with restricted transferability,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:BASFN.DE,BAS.DE,BASF,XETR,PREFERRED,77887698.04,registered shares with no par value,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:BAYGN.DE,BAYN.DE,BAYER,XETR,PREFERRED,80255111.05,registered no-par-value shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:BC8G.DE,BC8.DE,BECHTLE,XETR,LOW_EXCEPTION,5235685.3,ordinary no-par shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:BEIG.DE,BEI.DE,BEIERSDORF,XETR,PREFERRED,22103146.19,ordinary no-par shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:BMWG.DE,BMW.DE,BMW,XETR,PREFERRED,68856290.02,stimmberechtigte Inhaber-Stammaktie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:BNRGN.DE,BNR.DE,BRENNTAG,XETR,LOW_EXCEPTION,14000564.8,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:CBKG.DE,CBK.DE,COMMERZBANK,XETR,PREFERRED,66109812.64,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:CONG.DE,CON.DE,CONTINENTAL,XETR,STANDARD,19653303.04,ordinary no-par shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DB1GN.DE,DB1.DE,DEUTSCHE BOERSE,XETR,PREFERRED,78485837.11,Registered shares without par value (ordinary equity),ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DBKGN.DE,DBK.DE,DEUTSCHE BANK,XETR,PREFERRED,125510128.21,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DHLN.DE,DHL.DE,DEUTSCHE POST,XETR,PREFERRED,71780171.39,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DTEGN.DE,DTE.DE,DEUTSCHE TELEKOM,XETR,PREFERRED,122613241.16,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DTGGE.DE,DTG.DE,DAIMLER TRUCK,XETR,PREFERRED,45964037.51,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:ENR1N.DE,ENR.DE,SIEMENS ENERGY,XETR,PREFERRED,240523061.51,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:EONGN.DE,EOAN.DE,E.ON,XETR,PREFERRED,68237289.07,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:EVDG.DE,EVD.DE,CTS EVENTIM,XETR,LOW_EXCEPTION,13950730.23,ordinary shares (KGaA),ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:EVKN.DE,EVK.DE,EVONIK INDUSTRIES,XETR,STANDARD,18890244.32,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:FMEG.DE,FME.DE,FRESENIUS MEDICAL CARE,XETR,PREFERRED,28713238.14,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:FNTGN.DE,FNTN.DE,FREENET,XETR,LOW_EXCEPTION,6421931.37,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:FPE3_P.DE,FPE3.DE,FUCHS PREF,XETR,FAIL_LIQ,2702932.39,preference shares / Vorzugsaktien,NON_ORDINARY_REVIEW,FAIL_LIQUIDITY,NO
WS:XETR:FRAG.DE,FRA.DE,FRAPORT,XETR,LOW_EXCEPTION,8027889.58,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:FREG.DE,FRE.DE,FRESENIUS,XETR,PREFERRED,34631428.17,ordinary registered shares / Namensaktien,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:FTKN.DE,FTK.DE,FLATEXDEGIRO N,XETR,LOW_EXCEPTION,8006796.61,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:G1AG.DE,G1A.DE,GEA GRP,XETR,PREFERRED,20041283.93,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:G24N.DE,G24.DE,SCOUT24,XETR,PREFERRED,27350344.08,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:GBFG.DE,GBF.DE,BILFINGER,XETR,LOW_EXCEPTION,8755976.87,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:HAGG.DE,HAG.DE,HENSOLDT,XETR,STANDARD,18132936.21,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:HEIG.DE,HEI.DE,HEIDELBERG MATERIALS,XETR,PREFERRED,53027146.97,no-par value bearer shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:HNKG_P.DE,HEN3.DE,HENKEL PREF,XETR,PREFERRED,23330579.82,preferred shares,NON_ORDINARY_REVIEW,INSTRUMENT_REVIEW,NO
WS:XETR:HNRGN.DE,HNR1.DE,HANNOVER RUECK,XETR,PREFERRED,28437465.71,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:HOTG.DE,HOT.DE,HOCHTIEF,XETR,STANDARD,17782335.12,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:IFXGN.DE,IFX.DE,INFINEON TECHNOLOGIES,XETR,PREFERRED,185598625.16,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:LEGN.DE,LEG.DE,LEG IMMOBILIEN,XETR,LOW_EXCEPTION,11832409.14,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:LHAG.DE,LHA.DE,LUFTHANSA,XETR,PREFERRED,33135719.5,registered shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:MBGN.DE,MBG.DE,MERCEDES-BENZ GROUP,XETR,PREFERRED,74436768.78,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:MTXGN.DE,MTX.DE,MTU AERO ENGINES,XETR,PREFERRED,38259708.88,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:MUVGN.DE,MUV2.DE,MUENCHENER RUECK,XETR,PREFERRED,113037742.6,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:NAFG.DE,NDA.DE,AURUBIS,XETR,STANDARD,17946362.6,Inhaber-Stammaktie / ordinary equity,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:NDXG.DE,NDX1.DE,NORDEX,XETR,STANDARD,16404468.32,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:NEKG.DE,NEM.DE,NEMETSCHEK,XETR,LOW_EXCEPTION,14452021.28,Inhaberaktie / ordinary equity,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:PSHG_P.DE,PAH3.DE,PORSCHE AUTOMOBIL HLDG PREF,XETR,STANDARD,16607848.4,preference shares,NON_ORDINARY_REVIEW,INSTRUMENT_REVIEW,NO
WS:XETR:PUMG.DE,PUM.DE,PUMA,XETR,LOW_EXCEPTION,11553975.96,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:RAAG.DE,RAA.DE,RATIONAL,XETR,LOW_EXCEPTION,6856677.25,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XETR:RHMG.DE,RHM.DE,RHEINMETALL,XETR,PREFERRED,176371261.44,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:RWEG.DE,RWE.DE,RWE,XETR,PREFERRED,64966669.62,bearer shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SAPG.DE,SAP.DE,SAP,XETR,PREFERRED,375525295.74,ordinary no-par shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SATG_P.DE,SRT3.DE,SARTORIUS PREF.,XETR,STANDARD,15693292.75,preference shares,NON_ORDINARY_REVIEW,INSTRUMENT_REVIEW,NO
WS:XETR:SDFGN.DE,SDF.DE,K + S,XETR,STANDARD,19755528.34,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SHLG.DE,SHL.DE,SIEMENS HEALTHINEERS,XETR,PREFERRED,27655113.4,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SIEGN.DE,SIE.DE,SIEMENS,XETR,PREFERRED,219579802.36,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SY1G.DE,SY1.DE,SYMRISE,XETR,PREFERRED,22052374.04,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:TEGG.DE,TEG.DE,TAG IMMOBILIEN AG,XETR,FAIL_LIQ,3850549.35,bearer ordinary shares,ORDINARY_LIKE,FAIL_LIQUIDITY,NO
WS:XETR:TKAG.DE,TKA.DE,THYSSENKRUPP,XETR,PREFERRED,27440996.24,no-par-value bearer shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:TLXGN.DE,TLX.DE,TALANX,XETR,STANDARD,15797401.55,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:TUI1N.DE,TUI1.DE,TUI,XETR,STANDARD,19351195.64,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:VNAN.DE,VNA.DE,Vonovia SE,XETR,PREFERRED,45140495.63,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:VOWG_P.DE,VOW3.DE,VOLKSWAGEN PREF,XETR,PREFERRED,52760127.86,preference shares,NON_ORDINARY_REVIEW,INSTRUMENT_REVIEW,NO
WS:XETR:ZALG.DE,ZAL.DE,ZALANDO,XETR,PREFERRED,28815152.95,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XHEL:KCRA.HE,KCR.HE,KONECRANES,XHEL,LOW_EXCEPTION,7630677.91,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XHEL:NDAFI.HE,NDA-FI.HE,NORDEA BANK,XHEL,PREFERRED,55219451.82,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:ADML.L,ADM.L,ADMIRAL GRP,XLON,PREFERRED,30491948.54,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:AUTOA.L,AUTO.L,AUTOTRADER GROUP,XLON,STANDARD,16025043.81,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:BALF.L,BBY.L,BALFOUR BEATTY,XLON,LOW_EXCEPTION,8616901.5,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XLON:BBOXT.L,BBOX.L,TRITAX BIG BOX REIT,XLON,LOW_EXCEPTION,13598057.13,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XLON:BEZG.L,BEZ.L,BEAZLEY,XLON,PREFERRED,31518005.02,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:BKGH.L,BKG.L,BERKELEY GRP HLDG,XLON,LOW_EXCEPTION,5989901.12,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XLON:BPTB.L,BPT.L,BRIDGEPOINT GROUP,XLON,FAIL_LIQ,2934411.19,ordinary shares,ORDINARY_LIKE,FAIL_LIQUIDITY,NO
WS:XLON:BT.L,BT-A.L,BT GRP,XLON,PREFERRED,23273203.64,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:HOCM.L,HOC.L,HOCHSCHILD MINING,XLON,LOW_EXCEPTION,12724001.85,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XLON:ICAG.L,IAG.L,IAG,XLON,PREFERRED,37950063.14,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:ICGIN.L,ICG.L,ICG,XLON,STANDARD,16143130.19,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:MRON.L,MRO.L,MELROSE INDUSTRIES,XLON,PREFERRED,20294081.81,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:PAFR.L,PAF.L,PAN AFRICAN RESOURCES,XLON,LOW_EXCEPTION,8274634.04,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XLON:PLUSP.L,PLUS.L,PLUS500,XLON,LOW_EXCEPTION,5144945.15,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XLON:RS1R.L,RS1.L,RS Group,XLON,LOW_EXCEPTION,5857681.2,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XLON:SHCS.L,SHC.L,SHAFTESBURY CAPITAL,XLON,LOW_EXCEPTION,7265857.27,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XLON:SJP.L,STJ.L,ST.JAMES'S PLACE CAPITAL,XLON,PREFERRED,27312332.82,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:TCAPI.L,TCAP.L,TP ICAP,XLON,FAIL_LIQ,4761312.4,ordinary shares,ORDINARY_LIKE,FAIL_LIQUIDITY,NO
WS:XMAD:AMA.MC,AMS.MC,AMADEUS IT GROUP,XMAD,PREFERRED,29190654.56,ordinary shares / acciones ordinarias,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMAD:ENAG.MC,ENG.MC,ENAGAS,XMAD,LOW_EXCEPTION,7512018.49,ordinary shares / acciones ordinarias,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XMAD:GRLS.MC,GRF.MC,GRIFOLS,XMAD,LOW_EXCEPTION,10335758.32,Class A ordinary shares / acciones clase A,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XMAD:PUIGB.MC,PUIG.MC,PUIG BRANDS B,XMAD,LOW_EXCEPTION,7136834.3,Class B ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XMAD:REDE.MC,RED.MC,Redeia Corporacion,XMAD,LOW_EXCEPTION,9833192.0,ordinary shares / acciones ordinarias,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XMAD:SABE.MC,SAB.MC,BCO SABADELL,XMAD,PREFERRED,57300037.35,ordinary shares / acciones ordinarias,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:A2.MI,A2A.MI,A2A,XMIL,STANDARD,15774108.29,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:AZMT.MI,AZM.MI,AZIMUT HLDG,XMIL,LOW_EXCEPTION,13150612.76,ordinary shares / azioni ordinarie,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XMIL:BCU.MI,BC.MI,BRUNELLO CUCINELLI,XMIL,LOW_EXCEPTION,13322298.31,ordinary shares / azioni ordinarie,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XMIL:CPRI.MI,CPR.MI,DAVIDE CAMPARI,XMIL,PREFERRED,24278902.38,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:CRDI.MI,UCG.MI,UNICREDIT,XMIL,PREFERRED,241324342.3,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:EMII.MI,BPE.MI,BPER Banca,XMIL,PREFERRED,59244598.89,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:ENEI.MI,ENEL.MI,ENEL,XMIL,PREFERRED,147590829.03,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:GASI.MI,G.MI,ASSICURAZIONI GENERALI,XMIL,PREFERRED,73604035.45,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:HRA.MI,HER.MI,HERA,XMIL,STANDARD,16335572.99,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:ITPG.MI,IP.MI,INTERPUMP GRP,XMIL,FAIL_LIQ,4301328.48,ordinary shares / azioni ordinarie,ORDINARY_LIKE,FAIL_LIQUIDITY,NO
WS:XMIL:LDOF.MI,LDO.MI,LEONARDO,XMIL,PREFERRED,89535058.44,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:NEXII.MI,NEXI.MI,NEXI SPA,XMIL,PREFERRED,31563415.02,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:RECI.MI,REC.MI,RECORDATI,XMIL,LOW_EXCEPTION,10615282.36,ordinary shares / azioni ordinarie,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XMIL:SPMI.MI,SPM.MI,SAIPEM,XMIL,PREFERRED,71216876.42,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:TENR.MI,TEN.MI,TENARIS,XMIL,PREFERRED,33758780.9,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:TLIT.MI,TIT.MI,TELECOM ITALIA,XMIL,PREFERRED,49164112.87,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:UNPI.MI,UNI.MI,UNIPOL ASSICURAZIONI,XMIL,PREFERRED,32801916.87,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XOSL:GJFG.OL,GJF.OL,GJENSIDIGE FORSIKRING,XOSL,FAIL_LIQ,4716553.27,ordinary shares,ORDINARY_LIKE,FAIL_LIQUIDITY,NO
WS:XPAR:ACCP.PA,AC.PA,ACCOR,XPAR,PREFERRED,28865522.03,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:AIRP.PA,AI.PA,AIR LIQUIDE,XPAR,PREFERRED,96532641.01,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:ALSO.PA,ALO.PA,ALSTOM,XPAR,LOW_EXCEPTION,14604674.46,ordinary shares / actions ordinaires,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XPAR:AXAF.PA,CS.PA,AXA,XPAR,PREFERRED,91434329.16,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:BIOX.PA,BIM.PA,BIOMERIEUX,XPAR,LOW_EXCEPTION,10766568.48,ordinary shares / actions ordinaires,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XPAR:BNPP.PA,BNP.PA,BNP PARIBAS,XPAR,PREFERRED,158113644.94,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:BOLL.PA,BOL.PA,BOLLORE,XPAR,LOW_EXCEPTION,8901280.12,ordinary shares / actions ordinaires,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XPAR:BOUY.PA,EN.PA,BOUYGUES,XPAR,PREFERRED,25593080.38,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:CAGR.PA,ACA.PA,CREDIT AGRICOLE,XPAR,PREFERRED,74177800.3,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:CAPP.PA,CAP.PA,CAP GEMINI,XPAR,PREFERRED,40679176.96,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:CARR.PA,CA.PA,CARREFOUR,XPAR,PREFERRED,23358554.37,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:CVO.PA,COV.PA,COVIVIO,XPAR,FAIL_LIQ,4588527.58,ordinary shares / actions ordinaires,ORDINARY_LIKE,FAIL_LIQUIDITY,NO
WS:XPAR:DANO.PA,BN.PA,DANONE,XPAR,PREFERRED,60494420.91,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:DAST.PA,DSY.PA,DASSAULT SYSTEMS,XPAR,PREFERRED,34749372.58,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:ENGIE.PA,ENGI.PA,ENGIE,XPAR,PREFERRED,76955910.05,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:ESLX.PA,EL.PA,ESSILORLUXOTTICA,XPAR,PREFERRED,98719619.17,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:EUFI.PA,ERF.PA,EUROFINS SCIENTIFIC,XPAR,LOW_EXCEPTION,14392338.36,ordinary shares / actions ordinaires,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XPAR:EXHO.PA,SW.PA,SODEXO,XPAR,LOW_EXCEPTION,11094675.65,ordinary shares / actions ordinaires,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XPAR:FOUG.PA,FGR.PA,EIFFAGE,XPAR,PREFERRED,27059556.14,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:GETP.PA,GET.PA,Getlink,XPAR,LOW_EXCEPTION,10141209.0,ordinary shares / actions ordinaires,ORDINARY_LIKE,EXCEPTION_POOL,NO
