WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Instrument_Type,Universe_Status,Source_ID,Source_AsOf,Mapping_Status_Current,Yahoo_Symbol_Current,Mapping_Baseline_State,Scalable_Tradeability_Status,Identity_Baseline_State,Instrument_Gate_Baseline_State,History_Evidence_State,History_Evidence_AsOf,History_First_Date,History_Last_Completed_Date,History_Unique_Daily_Bars,History_Valid_Completed_Bars,Liquidity_Evidence_State,Liquidity_Evidence_AsOf,MedianTurnover20_EUR,Liquidity_Class_Prior,Prior_Eligibility_State,Eligibility_Baseline_State,Price_Derived_Data_Refresh_Required,Mapping_Refresh_Required,Identity_Instrument_Remediation_Required,Planned_Next_Action,Refresh_Priority,Evidence_Source,Evidence_Confidence,Productive_Eligibility,SWING_U3K_FROZEN_Member
WS:ISIN:INE047A01021,Grasim Industries Ltd.,INE047A01021,India,GRASIM,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,GRASIM,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE059A01026,Cipla Ltd.,INE059A01026,India,CIPLA,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,CIPLA,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE062A01020,State Bank of India,INE062A01020,India,SBIN,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,SBIN,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE066A01021,Eicher Motors Ltd.,INE066A01021,India,EICHERMOT,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,EICHERMOT,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE075A01022,Wipro Ltd.,INE075A01022,India,WIPRO,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,WIPRO,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE081A01020,Tata Steel Ltd.,INE081A01020,India,TATASTEEL,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,TATASTEEL,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE089A01031,Dr. Reddy's Laboratories Ltd.,INE089A01031,India,DRREDDY,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,DRREDDY,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE090A01021,ICICI Bank Ltd.,INE090A01021,India,ICICIBANK,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,ICICIBANK,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE101A01026,Mahindra & Mahindra Ltd.,INE101A01026,India,M&M,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,M&M,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE123W01016,SBI Life Insurance Company Ltd.,INE123W01016,India,SBILIFE,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,SBILIFE,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE154A01025,ITC Ltd.,INE154A01025,India,ITC,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,ITC,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE155A01022,Tata Motors Passenger Vehicles Ltd.,INE155A01022,India,TMPV,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,TMPV,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE192A01025,Tata Consumer Products Ltd.,INE192A01025,India,TATACONSUM,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,TATACONSUM,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE213A01029,Oil & Natural Gas Corporation Ltd.,INE213A01029,India,ONGC,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,ONGC,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE237A01036,Kotak Mahindra Bank Ltd.,INE237A01036,India,KOTAKBANK,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,KOTAKBANK,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE238A01034,Axis Bank Ltd.,INE238A01034,India,AXISBANK,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,AXISBANK,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE239A01024,Nestle India Ltd.,INE239A01024,India,NESTLEIND,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,NESTLEIND,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE263A01024,Bharat Electronics Ltd.,INE263A01024,India,BEL,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,BEL,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE280A01028,Titan Company Ltd.,INE280A01028,India,TITAN,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,TITAN,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE296A01032,Bajaj Finance Ltd.,INE296A01032,India,BAJFINANCE,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,BAJFINANCE,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE397D01024,Bharti Airtel Ltd.,INE397D01024,India,BHARTIARTL,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,BHARTIARTL,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE423A01024,Adani Enterprises Ltd.,INE423A01024,India,ADANIENT,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,ADANIENT,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE437A01024,Apollo Hospitals Enterprise Ltd.,INE437A01024,India,APOLLOHOSP,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,APOLLOHOSP,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE467B01029,Tata Consultancy Services Ltd.,INE467B01029,India,TCS,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,TCS,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE481G01011,UltraTech Cement Ltd.,INE481G01011,India,ULTRACEMCO,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,ULTRACEMCO,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE522F01014,Coal India Ltd.,INE522F01014,India,COALINDIA,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,COALINDIA,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE585B01010,Maruti Suzuki India Ltd.,INE585B01010,India,MARUTI,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,MARUTI,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE646L01027,InterGlobe Aviation Ltd.,INE646L01027,India,INDIGO,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,INDIGO,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
