WS_ID,Frozen_Source_Symbol,Proposed_Yahoo_Symbol,MIC,Confidence,Research_Status,Decision,Primary_Status,Provider_Status,Corporate_Action_Status,Verified_Primary_Ticker,Verified_Share_Class,Primary_URL_Present,Provider_URL_Present,Reason
WS:XETR:EVKN.DE,EVKn.DE,EVK.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,EVK,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:FNTGN.DE,FNTGn.DE,FNTN.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,FNTN,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:FPE3_P.DE,FPE3_p.DE,FRE.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,FRE,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:FTKN.DE,FTKn.DE,FTK.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,FTK,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:G24N.DE,G24n.DE,G24.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,G24,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:HNRGN.DE,HNRGn.DE,HNR1.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,HNR1,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:IFXGN.DE,IFXGn.DE,IFX.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,IFX,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:LEGN.DE,LEGn.DE,LEG.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,LEG,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:MBGN.DE,MBGn.DE,MBG.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,MBG,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:MTXGN.DE,MTXGn.DE,MTX.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,MTX,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:MUVGN.DE,MUVGn.DE,MUV2.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,MUV2,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:PSHG_P.DE,PSHG_p.DE,PSH2.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,PSH2,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:SATG_P.DE,SATG_p.DE,SRT3.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,SRT3,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:SDFGN.DE,SDFGn.DE,SDF.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,SDF,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:SIEGN.DE,SIEGn.DE,SIE.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,SIE,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:TLXGN.DE,TLXGn.DE,TLX.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,TLX,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:TUI1N.DE,TUI1n.DE,TUI1.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,TUI1,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:VNAN.DE,VNAn.DE,VNA.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,VNA,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:VOWG_P.DE,VOWG_p.DE,VOW3.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,VOW3,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XSTO:ADDTB.ST,ADDTb.ST,ADDT-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,ADDTB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:ASSAB.ST,ASSAb.ST,ASSA-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,ASSAB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:ATCOA.ST,ATCOa.ST,ATCO-A.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,ATCOA,A share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:BALDB.ST,BALDb.ST,BALD-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,BALDB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:BEIJB.ST,BEIJb.ST,BEIJ-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,BEIJB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:EPIRA.ST,EPIRa.ST,EPI-A.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,EPIA,A share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:ERICB.ST,ERICb.ST,ERIC-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,ERICB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:ESSITYB.ST,ESSITYb.ST,ESSITY-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,ESSITYB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:GETIB.ST,GETIb.ST,GETI-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,GETIB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:HEXAB.ST,HEXAb.ST,HEXA-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,HEXAB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:HMB.ST,HMb.ST,HM-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,HMB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:HOLMB.ST,HOLMb.ST,HOLM-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,HOLMB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:INDUC.ST,INDUc.ST,INDU-C.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,INDUC,C share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:INVEB.ST,INVEb.ST,INVE-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,INVEB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:LAGRB.ST,LAGRb.ST,LAGR-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,LAGRB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:LATOB.ST,LATOb.ST,LATO-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,LATOB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:LIFCOB.ST,LIFCOb.ST,LIFCO-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,LIFCOB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:LUNDB.ST,LUNDb.ST,LUND-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,LUNDB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:NIBEB.ST,NIBEb.ST,NIBE-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,NIBEB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:OCTVSDB.ST,OCTVsdb.ST,OCTV-SDB.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,OCTVSDB,SDB,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SAABB.ST,SAABb.ST,SAAB-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SAAB-B,B,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SAGAB.ST,SAGAb.ST,SAGA-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SAGA-B,B,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SCAB.ST,SCAb.ST,SCA-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SCA-B,B,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SEBA.ST,SEBa.ST,SEB-A.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SEBA,A share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SECTB.ST,SECTb.ST,SECT-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SECTB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SECUB.ST,SECUb.ST,SECU-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SECUB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SHBA.ST,SHBa.ST,SHB-A.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SHBA,A share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SKAB.ST,SKAb.ST,SKA-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SKAB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SKFB.ST,SKFb.ST,SKF-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SKFB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SSABB.ST,SSABb.ST,SSAB-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SSABB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SWECB.ST,SWECb.ST,SWEC-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SWECB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:SWEDA.ST,SWEDa.ST,SWED-A.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SWEDA,A share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:TEL2B.ST,TEL2b.ST,TEL2-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,TEL2B,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:TRELB.ST,TRELb.ST,TREL-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,TRELB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSTO:VOLVB.ST,VOLVb.ST,VOLV-B.ST,XSTO,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,VOLVB,B share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSWX:ALCC.S,ALCC.S,ALC.SW,XSWX,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,ALC,Registered share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSWX:BKWB.S,BKWB.S,BKW.SW,XSWX,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,BKW,Registered share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSWX:COTNE.S,COTNE.S,COTN.SW,XSWX,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,COTN,Registered share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSWX:HBANC.S,HBANC.S,HBAN.SW,XSWX,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,HBAN,Registered share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSWX:ROPC.S,ROPC.S,ROP.SW,XSWX,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,ROP,Participation certificate,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSWX:SIGNC.S,SIGNC.S,SIGN.SW,XSWX,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SIGN,Registered share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
WS:XSWX:SRENH.S,SRENH.S,SREN.SW,XSWX,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,SREN,Registered share,NO,YES,Primary evidence URL missing; Confidence MEDIUM
