WS_ID,Diagnostic_Classification,Research_Status,Evidence_Confidence,Decision,Proposed_Yahoo_Symbol,Primary_MIC
WS:XSTO:ESSITYB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ESSITY-B.ST,XSTO
WS:XSTO:GETIB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,GETI-B.ST,XSTO
WS:XSTO:HEXAB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,HEXA-B.ST,XSTO
WS:XSTO:HMB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,HM-B.ST,XSTO
WS:XSTO:HOLMB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,HOLM-B.ST,XSTO
WS:XSTO:INDUC.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,INDU-C.ST,XSTO
WS:XSTO:INVEB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,INVE-B.ST,XSTO
WS:XSTO:LAGRB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,LAGR-B.ST,XSTO
WS:XSTO:LATOB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,LATO-B.ST,XSTO
WS:XSTO:LIFCOB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,LIFCO-B.ST,XSTO
WS:XSTO:LUNDB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,LUND-B.ST,XSTO
WS:XSTO:NIBEB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,NIBE-B.ST,XSTO
WS:XSTO:OCTVSDB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,OCTV-SDB.ST,XSTO
WS:XSTO:SAABB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SAAB-B.ST,XSTO
WS:XSTO:SAGAB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SAGA-B.ST,XSTO
WS:XSTO:SCAB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SCA-B.ST,XSTO
WS:XSTO:SEBA.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SEB-A.ST,XSTO
WS:XSTO:SECTB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SECT-B.ST,XSTO
WS:XSTO:SECUB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SECU-B.ST,XSTO
WS:XSTO:SHBA.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SHB-A.ST,XSTO
WS:XSTO:SKAB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SKA-B.ST,XSTO
WS:XSTO:SKFB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SKF-B.ST,XSTO
WS:XSTO:SSABB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SSAB-B.ST,XSTO
WS:XSTO:SWECB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SWEC-B.ST,XSTO
WS:XSTO:SWEDA.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SWED-A.ST,XSTO
WS:XSTO:TEL2B.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,TEL2-B.ST,XSTO
WS:XSTO:TRELB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,TREL-B.ST,XSTO
WS:XSTO:VOLVB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,VOLV-B.ST,XSTO
WS:XSWX:ALCC.S,SUFFIX_MAPPING_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ALC.SW,XSWX
WS:XSWX:BKWB.S,SUFFIX_MAPPING_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,BKW.SW,XSWX
WS:XSWX:COTNE.S,SUFFIX_MAPPING_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,COTN.SW,XSWX
WS:XSWX:HBANC.S,SUFFIX_MAPPING_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,HBAN.SW,XSWX
WS:XSWX:ROPC.S,SUFFIX_MAPPING_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ROP.SW,XSWX
WS:XSWX:SIGNC.S,SUFFIX_MAPPING_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SIGN.SW,XSWX
WS:XSWX:SRENH.S,SUFFIX_MAPPING_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SREN.SW,XSWX
