WS_ID,Research_Status,Evidence_AsOf_UTC,Decision
WS:XETR:LHAG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:MBGN.DE,RESEARCHED,2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:MTXGN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:MUVGN.DE,RESEARCHED,2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:NAFG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:NDXG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:NEKG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:PSHG_P.DE,RESEARCHED,2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:PUMG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:RAAG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:RHMG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:RWEG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:SAPG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:SATG_P.DE,RESEARCHED,2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:SDFGN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:SHLG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:SIEGN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:SY1G.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:TEGG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:TKAG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:TLXGN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:TUI1N.DE,RESEARCHED,2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:VNAN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:VOWG_P.DE,RESEARCHED,2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:ZALG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XHEL:KCRA.HE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XHEL:NDAFI.HE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:ADML.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:AUTOA.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:BALF.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:BBOXT.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:BEZG.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:BKGH.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:BPTB.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:BT.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:HOCM.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:ICAG.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:ICGIN.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:MRON.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:PAFR.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:PLUSP.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:RS1R.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:SHCS.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:SJP.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XLON:TCAPI.L,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMAD:AMA.MC,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMAD:ENAG.MC,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMAD:GRLS.MC,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMAD:PUIGB.MC,RESEARCHED,2026-09-02T22:35:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XMAD:REDE.MC,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMAD:SABE.MC,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:A2.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:AZMT.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:BCU.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:CPRI.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:CRDI.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:EMII.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:ENEI.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:GASI.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:HRA.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:ITPG.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:LDOF.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:NEXII.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:RECI.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:SPMI.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:TENR.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:TLIT.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XMIL:UNPI.MI,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XOSL:GJFG.OL,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:ACCP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:AIRP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:ALSO.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:AXAF.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:BIOX.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:BNPP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:BOLL.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:BOUY.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:CAGR.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:CAPP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:CARR.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:CVO.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:DANO.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:DAST.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:ENGIE.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:ESLX.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:EUFI.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:EXHO.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:FOUG.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:GETP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:GFCP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:HRMS.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:LEGD.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:LOIM.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:LVMH.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:MICP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:NEXS.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:ORAN.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:OREP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:PERP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:PRTP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:PUBP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:RENA.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:RUBF.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:SASY.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:SCHN.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:SCOR.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:SESFD.PA,RESEARCHED,2026-09-02T22:50:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XPAR:SGEF.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:SGOB.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:SOGN.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:SOIT.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:SOPR.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:STDM.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:TCFP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:TEPRF.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:TTEF.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:VLLP.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XPAR:VLOF.PA,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XSTO:ADDTB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:ASSAB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:ATCOA.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:AVANZ.ST,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XSTO:BALDB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:BEIJB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:EPIRA.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:ERICB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:ESSITYB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:EVOG.ST,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XSTO:GETIB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:HEXAB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:HMB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:HOLMB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:INDUC.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:INVEB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:LAGRB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:LATOB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:LIFCOB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:LUNDB.ST,RESEARCHED,2026-09-02T21:06:21Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:NIBEB.ST,RESEARCHED,2026-09-02T21:08:02Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:OCTVSDB.ST,RESEARCHED,2026-09-02T21:08:02Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:SAABB.ST,RESEARCHED,2026-09-02T21:11:27Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:SAGAB.ST,RESEARCHED,2026-09-02T21:11:27Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:SCAB.ST,RESEARCHED,2026-09-02T21:11:27Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:SEBA.ST,RESEARCHED,2026-09-02T20:57:59Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:SECTB.ST,RESEARCHED,2026-09-02T20:57:59Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:SECUB.ST,RESEARCHED,2026-09-02T20:57:59Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XSTO:SHBA.ST,RESEARCHED,2026-09-02T20:57:59Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
