Selection_Rank,Selection_Score,Source_Security_Name,Source_Ticker,Current_Membership_Status,Current_Membership_Source,Current_Membership_Rank,Current_Membership_Date,Current_Listing_Status,Listing_Evidence_Source,Listing_Evidence_Rank,Listing_Evidence_Date,Verified_Issuer,Verified_Security_Name,Verified_Share_Class,Verified_Instrument_Type,Verified_ISIN,Verified_Primary_Exchange,Verified_Primary_MIC,Verified_Primary_Ticker,Canonical_WS_ID,Identity_Evidence_Source,Identity_Evidence_Rank,Identity_Evidence_Date,Supporting_Evidence_Source,Supporting_Evidence_Rank,Supporting_Evidence_Date,ISIN_Format_Check,ISIN_Luhn_Check,ISIN_Security_Match,ISIN_Class_Match,Ticker_Match,MIC_Match,Corporate_Action_Status,Collision_Status,Legacy_Overlap_Status,Final_Target_Status,Review_Reason,Exclude_Reason,Evidence_Notes
11,16,Algonquin Power & Utilities Corp.,AQN,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/AQN,R1,2026-09-06,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities Corp.,,,,,,,,https://investors.algonquinpower.com/,R1,2026-09-06,https://money.tmx.com/en/quote/AQN,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
12,16,Aecon Group Inc.,ARE,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ARE,R1,2026-09-06,Aecon Group Inc.,Aecon Group Inc.,,,,,,,,https://www.aecon.com/investors,R1,2026-09-06,https://money.tmx.com/en/quote/ARE,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
13,16,Aris Mining Corporation,ARIS,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ARIS,R1,2026-09-06,Aris Mining Corporation,Aris Mining Corporation,,,,,,,,https://www.aris-mining.com/investors/,R1,2026-09-06,https://money.tmx.com/en/quote/ARIS,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
14,16,Avino Silver & Gold Mines Ltd.,ASM,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ASM,R1,2026-09-06,Avino Silver & Gold Mines Ltd.,Avino Silver & Gold Mines Ltd.,,,,,,,,https://www.avinosilverandgoldmines.com/investors/,R1,2026-09-06,https://money.tmx.com/en/quote/ASM,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
15,16,Alimentation Couche-Tard Inc.,ATD,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ATD,R1,2026-09-06,Alimentation Couche-Tard Inc.,Alimentation Couche-Tard Inc.,,,,,,,,https://corporate.couche-tard.com/investors/,R1,2026-09-06,https://money.tmx.com/en/quote/ATD,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
16,16,Athabasca Oil Corporation,ATH,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ATH,R1,2026-09-06,Athabasca Oil Corporation,Athabasca Oil Corporation,,,,,,,,https://www.athabascaoil.com/investors/,R1,2026-09-06,https://money.tmx.com/en/quote/ATH,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
17,16,AtkinsRéalis Group Inc.,ATRL,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ATRL,R1,2026-09-06,AtkinsRéalis Group Inc.,AtkinsRéalis Group Inc.,,,,,,,,https://www.atkinsrealis.com/en/investors,R1,2026-09-06,https://money.tmx.com/en/quote/ATRL,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
18,16,ATS Corporation,ATS,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ATS,R1,2026-09-06,ATS Corporation,ATS Corporation,,,,,,,,https://www.atsautomation.com/investors,R1,2026-09-06,https://money.tmx.com/en/quote/ATS,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
19,16,Aya Gold & Silver Inc.,AYA,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/AYA,R1,2026-09-06,Aya Gold & Silver Inc.,Aya Gold & Silver Inc.,,,,,,,,https://ayagoldsilver.com/investors/,R1,2026-09-06,https://money.tmx.com/en/quote/AYA,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
20,16,BlackBerry Limited,BB,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/BB,R1,2026-09-06,BlackBerry Limited,BlackBerry Limited,,,,,,,,https://www.blackberry.com/us/en/company/investors,R1,2026-09-06,https://money.tmx.com/en/quote/BB,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
