WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Issuer,Admission_Status,History_State,Liquidity_Class,MedianTurnover20_EUR,Eligibility_DryRun,Universe_Write
US1:US2521311074:XNAS,DXCM,US2521311074,XNAS,Dexcom,ADMIT,PASS,PREFERRED,295758010.22,ELIGIBLE,NO
US1:US25278X1090:XNAS,FANG,US25278X1090,XNAS,Diamondback Energy,ADMIT,PASS,PREFERRED,298334758.46,ELIGIBLE,NO
US1:US2566771059:XNYS,DG,US2566771059,XNYS,Dollar General,ADMIT,PASS,PREFERRED,225918649.83,ELIGIBLE,NO
US1:US2567461080:XNAS,DLTR,US2567461080,XNAS,Dollar Tree,ADMIT,PASS,PREFERRED,227682397.07,ELIGIBLE,NO
US1:US25746U1097:XNYS,D,US25746U1097,XNYS,Dominion Energy,ADMIT,PASS,PREFERRED,185863018.13,ELIGIBLE,NO
US1:US25754A2015:XNYS,DPZ,US25754A2015,XNYS,Domino's Pizza,ADMIT,PASS,PREFERRED,209150846.61,ELIGIBLE,NO
US1:US2600031080:XNYS,DOV,US2600031080,XNYS,Dover Corporation,ADMIT,PASS,PREFERRED,170456400.58,ELIGIBLE,NO
US1:US23331A1097:XNYS,DHI,US23331A1097,XNYS,D. R. Horton,ADMIT,PASS,PREFERRED,221475861.17,ELIGIBLE,NO
US1:US26441C2044:XNYS,DUK,US26441C2044,XNYS,Duke Energy,ADMIT,PASS,PREFERRED,357880957.56,ELIGIBLE,NO
US1:US2635341090:XNYS,DD,US2635341090,XNYS,DuPont,ADMIT,PASS,PREFERRED,136512433.71,ELIGIBLE,NO
US1:US2786421030:XNAS,EBAY,US2786421030,XNAS,Q58024,ADMIT,PASS,PREFERRED,351005881.03,ELIGIBLE,NO
US1:US2787681061:XNAS,ECHO,US2787681061,XNAS,Q1280748,ADMIT,PASS,PREFERRED,181750699.25,ELIGIBLE,NO
US1:US2788651006:XNYS,ECL,US2788651006,XNYS,Ecolab,ADMIT,PASS,PREFERRED,336760558.34,ELIGIBLE,NO
US1:US2810201077:XNYS,EIX,US2810201077,XNYS,Edison International,ADMIT,PASS,PREFERRED,224171385.06,ELIGIBLE,NO
US1:US28176E1082:XNYS,EW,US28176E1082,XNYS,Edwards Lifesciences,ADMIT,PASS,PREFERRED,213449310.9,ELIGIBLE,NO
US1:US0367521038:XNYS,ELV,US0367521038,XNYS,"Elevance Health, Inc.",ADMIT,PASS,PREFERRED,298878287.15,ELIGIBLE,NO
US1:US29084Q1004:XNYS,EME,US29084Q1004,XNYS,EMCOR,ADMIT,PASS,PREFERRED,220189662.73,ELIGIBLE,NO
US1:US2910111044:XNYS,EMR,US2910111044,XNYS,Emerson Electric,ADMIT,PASS,PREFERRED,288213118.32,ELIGIBLE,NO
US1:US29364G1031:XNYS,ETR,US29364G1031,XNYS,Entergy,ADMIT,PASS,PREFERRED,183978791.11,ELIGIBLE,NO
US1:US26875P1012:XNYS,EOG,US26875P1012,XNYS,EOG Resources,ADMIT,PASS,PREFERRED,333754644.98,ELIGIBLE,NO
US1:US26884L1098:XNYS,EQT,US26884L1098,XNYS,EQT,ADMIT,PASS,PREFERRED,295845735.84,ELIGIBLE,NO
US1:US2944291051:XNYS,EFX,US2944291051,XNYS,Equifax,ADMIT,PASS,PREFERRED,145545440.31,ELIGIBLE,NO
US1:US5184391044:XNYS,EL,US5184391044,XNYS,Estée Lauder Companies,ADMIT,PASS,PREFERRED,287074695.36,ELIGIBLE,NO
US1:US30034W1062:XNYS,EVRG,US30034W1062,XNYS,Evergy,ADMIT,PASS,PREFERRED,142339304.54,ELIGIBLE,NO
US1:US30040W1080:XNYS,ES,US30040W1080,XNYS,Eversource Energy,ADMIT,PASS,PREFERRED,109479836.64,ELIGIBLE,NO
US1:US30161N1019:XNYS,EXC,US30161N1019,XNYS,Exelon,ADMIT,PASS,PREFERRED,202932250.03,ELIGIBLE,NO
US1:US1651671075:XNAS,EXE,US1651671075,XNAS,Expand Energy,ADMIT,PASS,PREFERRED,186930529.91,ELIGIBLE,NO
