Yahoo_Symbol,Primary_Ticker,Issuer,Security,GICS_Sector,GICS_Sub,CIK,Wikidata_QID,ISIN,Primary_MIC,Instrument_Type,Admission_Status,Admission_Reason,Evidence_Source,Evidence_Status,SP500_Membership,WS_ID
AEE,AEE,Ameren,Ameren,Utilities,Multi-Utilities,1002910,Q462984,US0236081024,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0236081024:XNYS
AEP,AEP,American Electric Power,American Electric Power,Utilities,Electric Utilities,4904,Q464092,US0255371017,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0255371017:XNYS
AXP,AXP,American Express,American Express,Financials,Consumer Finance,4962,Q194360,US0258161092,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0258161092:XNYS
AIG,AIG,American International Group,American International Group,Financials,Multi-line Insurance,5272,Q212235,US0268747849,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0268747849:XNYS
AWK,AWK,American Water Works,American Water Works,Utilities,Water Utilities,1410636,Q467238,US0304201033,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0304201033:XNYS
AMP,AMP,AMP Limited,Ameriprise Financial,Financials,Asset Management & Custody Banks,820027,Q295261,US03076C1062,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US03076C1062:XNYS
AME,AME,Ametek,Ametek,Industrials,Electrical Components & Equipment,1037868,Q470317,US0311001004,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0311001004:XNYS
AMGN,AMGN,Amgen,Amgen,Health Care,Biotechnology,318154,Q470517,US0311621009,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0311621009:XNAS
APH,APH,Amphenol,Amphenol,Information Technology,Electronic Components,820313,Q474621,US0320951017,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0320951017:XNYS
ADI,ADI,Analog Devices,Analog Devices,Information Technology,Semiconductors,6281,Q484930,US0326541051,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0326541051:XNAS
APA,APA,APA Corporation,APA Corporation,Energy,Oil & Gas Exploration & Production,1841666,Q119991,US0374111054,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0374111054:XNYS
AAPL,AAPL,Apple Inc.,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320193,Q312,US0378331005,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0378331005:XNAS
AMAT,AMAT,Applied Materials,Applied Materials,Information Technology,Semiconductor Materials & Equipment,6951,Q621610,US0382221051,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0382221051:XNAS
APP,APP,AppLovin,AppLovin,Communication Services,Advertising,1751008,Q27150212,US03831W1080,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US03831W1080:XNAS
ADM,ADM,Admiral Group,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,7084,Q267417,US0394831020,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0394831020:XNYS
ARES,ARES,Ares Management,Ares Management,Financials,Asset Management & Custody Banks,1176948,Q4789079,US03990B1017,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US03990B1017:XNYS
ANET,ANET,Arista Networks,Arista Networks,Information Technology,Communications Equipment,1596532,Q2861324,US0404131064,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0404131064:XNYS
AJG,AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,354190,Q4799191,US3635761097,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US3635761097:XNYS
AIZ,AIZ,Air New Zealand,Assurant,Financials,Multi-line Insurance,1267238,Q204296,US04621X1081,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US04621X1081:XNYS
T,T,AT&T,AT&T,Communication Services,Integrated Telecommunication Services,732717,Q35476,US00206R1023,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US00206R1023:XNYS
ATO,ATO,Atos SE,Atmos Energy,Utilities,Gas Utilities,731802,Q757689,US0495601058,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0495601058:XNYS
ADSK,ADSK,Autodesk,Autodesk,Information Technology,Application Software,769397,Q628051,US0527691069,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0527691069:XNAS
ADP,ADP,Automatic Data Processing,Automatic Data Processing,Industrials,Human Resource & Employment Services,8670,Q489080,US0530151036,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0530151036:XNAS
AZO,AZO,AutoZone,AutoZone,Consumer Discretionary,Automotive Retail,866787,Q4826087,US0533321024,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0533321024:XNYS
AVY,AVY,Avery Dennison,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,8818,Q790650,US0536111091,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0536111091:XNYS
AXON,AXON,Axon Enterprise,Axon Enterprise,Industrials,Aerospace & Defense,1069183,Q690604,US87651B1044,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US87651B1044:XNAS
BKR,BKR,Baker Hughes,Baker Hughes,Energy,Oil & Gas Equipment & Services,1701605,Q804353,US05722G1004,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US05722G1004:XNYS
BALL,BALL,Ball Corporation,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",9389,Q4034815,US0584981064,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0584981064:XNYS
BAC,BAC,Bank of America,Bank of America,Financials,Diversified Banks,70858,Q487907,US0605051046,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0605051046:XNYS
BAX,BAX,Baxter International,Baxter International,Health Care,Health Care Equipment,10456,Q761965,US0718131099,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0718131099:XNYS
BDX,BDX,Becton Dickinson,Becton Dickinson,Health Care,Health Care Equipment,10795,Q813780,US0758871091,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0758871091:XNYS
BBY,BBY,Best Buy,Best Buy,Consumer Discretionary,Computer & Electronics Retail,764478,Q533415,US0865161014,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0865161014:XNYS
TECH,TECH,Bio-Techne,Bio-Techne,Health Care,Life Sciences Tools & Services,842023,Q19873469,US09073M1045,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US09073M1045:XNAS
BIIB,BIIB,Biogen,Biogen,Health Care,Biotechnology,875045,Q864338,US09062X1037,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US09062X1037:XNAS
BLK,BLK,BlackRock,BlackRock,Financials,Asset Management & Custody Banks,2012383,Q219635,US09247X1019,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US09247X1019:XNYS
BX,BX,Blackstone Inc.,Blackstone Inc.,Financials,Asset Management & Custody Banks,1393818,Q880942,US09253U1088,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US09253U1088:XNYS
XYZ,XYZ,"Block, Inc.","Block, Inc.",Financials,Transaction & Payment Processing Services,1512673,Q110778747,US8522341036,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US8522341036:XNYS
BNY,BNY,The Bank of New York Mellon,BNY Mellon,Financials,Asset Management & Custody Banks,1390777,Q589288,US0640581007,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0640581007:XNYS
BA,BA,Boeing,Boeing,Industrials,Aerospace & Defense,12927,Q66,US0970231058,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0970231058:XNYS
BKNG,BKNG,priceline.com,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1075531,Q7242653,US09857L1089,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US09857L1089:XNAS
BSX,BSX,Boston Scientific,Boston Scientific,Health Care,Health Care Equipment,885725,Q894585,US1011371077,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1011371077:XNYS
BMY,BMY,Bristol-Myers Squibb,Bristol Myers Squibb,Health Care,Pharmaceuticals,14272,Q266423,US1101221083,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1101221083:XNYS
AVGO,AVGO,Broadcom,Broadcom,Information Technology,Semiconductors,1730168,Q790060,US11135F1012,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US11135F1012:XNAS
BR,BR,Broadridge Financial Solutions,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,1383312,Q4972280,US11133T1034,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US11133T1034:XNYS
BRO,BRO,Brown & Brown,Brown & Brown,Financials,Insurance Brokers,79282,Q4976010,US1152361010,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1152361010:XNYS
BF-B,BF.B,Brown-Forman,Brown–Forman,Consumer Staples,Distillers & Vintners,14693,Q392221,US1156371007,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1156371007:XNYS
BLDR,BLDR,Builders FirstSource,Builders FirstSource,Industrials,Building Products,1316835,Q27686100,US12008R1077,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US12008R1077:XNYS
CHRW,CHRW,C. H. Robinson Worldwide,C.H. Robinson,Industrials,Air Freight & Logistics,1043277,Q931200,US12541W2098,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US12541W2098:XNAS
CDNS,CDNS,Cadence Design Systems,Cadence Design Systems,Information Technology,Application Software,813672,Q608776,US1273871087,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1273871087:XNAS
COF,COF,Capital One,Capital One,Financials,Consumer Finance,927628,Q1034654,US14040H1059,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US14040H1059:XNYS
CAH,CAH,Cardinal Health,Cardinal Health,Health Care,Health Care Distributors,721371,Q902397,US14149Y1082,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US14149Y1082:XNYS
CARR,CARR,Carrier Corporation,Carrier Global,Industrials,Building Products,1783180,Q731912,US14448C1045,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US14448C1045:XNYS
CVNA,CVNA,Carvana,Carvana,Consumer Discretionary,Automotive Retail,1690820,Q16247191,US1468691027,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1468691027:XNYS
CASY,CASY,Casey's General Stores,Casey's,Consumer Staples,Food Retail,726958,Q2940968,US1475281036,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1475281036:XNAS
CAT,CAT,Caterpillar Inc.,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,18230,Q459965,US1491231015,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1491231015:XNYS
CBOE,CBOE,"Cboe Global Markets, Inc.",Cboe Global Markets,Financials,Financial Exchanges & Data,1374310,Q30635731,US12503M1080,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US12503M1080:XNAS
CDW,CDW,CDW,CDW Corporation,Information Technology,Technology Distributors,1402057,Q1023155,US12514G1085,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US12514G1085:XNAS
COR,COR,Cencora,Cencora,Health Care,Health Care Distributors,1140859,Q470156,US03073E1055,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US03073E1055:XNYS
CNC,CNC,Centene Corporation,Centene Corporation,Health Care,Managed Health Care,1071739,Q5059102,US15135B1017,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US15135B1017:XNYS
CNP,CNP,Union Pacific Railroad,CenterPoint Energy,Utilities,Multi-Utilities,1130310,Q725793,US15189T1079,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US15189T1079:XNYS
CF,CF,CF Industries,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1324404,Q905806,US1252691001,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1252691001:XNYS
CRL,CRL,Charles River Laboratories,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1100682,Q5082076,US1598641074,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US1598641074:XNYS
SCHW,SCHW,Charles Schwab Corporation,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,316709,Q1066028,US8085131055,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US8085131055:XNYS
