feature_name,master_requirement_binding,repository_implementation,authority,status,materialized_v0_54,readiness_role,source_fields,lookback,notes
High60,Struktur: High60,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,High;Stock_Splits,60 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
High252,Struktur: High252,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,High;Stock_Splits,252 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
Low20,Struktur: Low20,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Low;Stock_Splits,20 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
Low60,Struktur: Low60,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Low;Stock_Splits,60 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
Dist_EMA20,Struktur: Distanz EMA20,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,inherits EMA20,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
Dist_EMA50,Struktur: Distanz EMA50,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,inherits EMA50,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
Dist_SMA200,Struktur: Distanz SMA200,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,200 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
Dist_High252,Struktur: Distanz zu relevantem Hoch (252 only),scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,High;Close;Stock_Splits,252 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
Range20_Pct,Volatilitaet/Struktur: kurzfristige Range / Range-Mass (20 only),scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,High;Low;Close;Stock_Splits,20 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
MedianVolume20_Tech,Volumen: MedianVolume20,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Volume;Stock_Splits,20 non-null valid volume observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
MedianTurnover20_Native,Volumen: MedianTurnover20,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Volume;Stock_Splits,20 non-null valid turnover observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
RVOL20_Current,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
TrueRange_Current,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
TrueRange_ATR14_Ratio,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Range_Current_Pct,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Close_Location_0_1,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Gap_Pct,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Range5_Pct,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Range10_Pct,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Range5_to_Range20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
TR_Mean5,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
TR_Mean20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
TR_Mean5_to_20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
EMA20_Slope5_Pct,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
EMA50_Slope10_Pct,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Consecutive_Close_Above_EMA20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Consecutive_Close_Above_EMA50,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Consecutive_Close_Above_SMA200,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Days_Since_Cross_Above_EMA20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Days_Since_Cross_Below_EMA20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Days_Since_Cross_Above_EMA50,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Days_Since_Cross_Below_EMA50,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
RecentLow10_vs_Prior10_Pct,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Distance_Low20_ATR,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Distance_Low60_ATR,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Distance_High20_ATR,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Max_Daily_Return5,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Min_Daily_Return5,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Max_Daily_Return20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Min_Daily_Return20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Max_TR_Preceding_ATR14_20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Max_Volume_PrecedingMedian20_20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Impulse_Return20_Max,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
Impulse_Days_Ago,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
PostImpulse_Min_vs_ImpulseClose,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
PostImpulse_Latest_vs_ImpulseClose,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
PostImpulse_Range_Pct,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
ReturnStd5,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
ReturnStd20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
ReturnStd5_to_20,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
AsOf_Age_Calendar_Days,historical descriptor; some map to master minimum families,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_GAP_EVIDENCE_ONLY_NOT_CURRENT_AUTHORITY,,,Implemented historically/descriptively but not silently promoted into current v0.54 canonical feature authority.
R1,Performance: R1,,master spec + current repository discovery,NOT_IMPLEMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,No current or v0.19 authoritative implementation identified.
Gap_ATR,Impuls: Gap/ATR,,master spec + current repository discovery,NOT_IMPLEMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,"v0.19 has Gap_Pct and ATR descriptors, but no governed exact Gap/ATR feature."
RunUp_5_20_60_MasterSemantic,Impuls: Run-up 5/20/60T,,master spec + current repository discovery,NOT_VERIFIED,NO,MASTER_LOCAL_MODEL_GAP,,,"R5/R20/R60 exist as performance returns, but repository authority does not explicitly equate them with the separate master run-up semantic."
RelevantHighDistance_MasterFamily,Struktur: Distanz zu relevanten Hochs,,master spec + current repository discovery,PARTIAL_AUGMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,Current canonical only Dist_High252; historical v0.19 has Distance_High20_ATR but no fully bound current family.
RangeCompression_MasterFamily,Struktur: Range-/Compression-Masse,,master spec + current repository discovery,PARTIAL_AUGMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,Current canonical Range20 only; richer Range5/10/ratios exist only in v0.19 historical augmentation.
HomeMarket_RS20_RS60,Relative Staerke Heimatmarkt,,master spec + current repository discovery,NOT_VERIFIED,NO,OUT_OF_SCOPE_RS_LATER_GATE,,,Explicitly out of scope for v0.54; later Home-Market RS gate.
Sector_RS20_RS60,Relative Staerke Sektor,,master spec + current repository discovery,NOT_VERIFIED,NO,OUT_OF_SCOPE_RS_LATER_GATE,,,Explicitly out of scope for v0.54; later Sector RS gate.
EMA20_Slope_Master,Trend: EMA20-Slope,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,Historical implementation evidence: EMA20_Slope5_Pct; not current canonical authority.
EMA50_Slope_Master,Trend: EMA50-Slope,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,Historical implementation evidence: EMA50_Slope10_Pct; not current canonical authority.
TrueRange_Master,Volatilitaet: True Range,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,Historical implementation evidence: TrueRange_Current; not current canonical authority.
RelativeVolume_Master,Volumen: relative Volumenmetriken,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,Historical implementation evidence: RVOL20_Current; not current canonical authority.
DailyMoveInATR_Master,Impuls: Tagesbewegung in ATR,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,Historical implementation evidence: TrueRange_ATR14_Ratio; not current canonical authority.
RecentImpulse_Master,Impuls: juengere Impulse,scripts/p0_feature_augmentation_v0_19.py,historical v0.19 only@62ced7a22abc6b1e1aaeb0a2f44690fd67956d95,PARTIAL_AUGMENTED,NO,MASTER_LOCAL_MODEL_GAP,,,Historical implementation evidence: Impulse_Return20_Max/PostImpulse descriptors; not current canonical authority.
